"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
18.598181,4.712842,10.148707,16.682374,4.374309,9.385584,14.375916,3.700315,7.601806,13.62296,3.214475,7.046221,6.878145,4.234527,2.858985,16.870006,3.642061,8.69843,16.376573,2.474156,7.971545,14.920584,3.382707,7.010657,14.761468,2.898444,6.423511
18.6119,4.701349,10.158914,16.699715,4.379411,9.398471,14.400427,3.755237,7.608717,13.643204,3.268078,7.057564,6.917266,4.332318,2.913755,16.886832,3.644409,8.708844,16.404361,2.5042,7.970301,14.93154,3.401247,6.982367,14.770935,2.96975,6.408195
18.628184,4.688488,10.170083,16.719684,4.372794,9.403692,14.408273,3.789926,7.58565,13.656911,3.326769,7.069406,6.980711,4.445533,3.040043,16.902125,3.641239,8.708598,16.443234,2.518401,7.946429,14.948078,3.449205,6.969177,14.786647,3.03788,6.382762
18.6416,4.677674,10.182451,16.743865,4.369035,9.42151,14.424368,3.83443,7.572236,13.680744,3.380392,7.067593,7.022096,4.527183,3.163152,16.915357,3.644318,8.720078,16.474126,2.538235,7.944778,14.977734,3.490229,6.967157,14.79836,3.100922,6.348311
18.654966,4.673673,10.202358,16.764931,4.360075,9.428788,14.442258,3.880082,7.567181,13.697155,3.456998,7.077787,7.053449,4.548409,3.265672,16.931045,3.639227,8.726651,16.507917,2.540131,7.931344,15.003719,3.533294,6.960991,14.827399,3.17243,6.319141
18.661092,4.65413,10.212086,16.784012,4.352703,9.437891,14.45851,3.934892,7.564249,13.716901,3.5227,7.086722,7.066123,4.530701,3.334696,16.953567,3.637898,8.741442,16.539616,2.547079,7.934337,15.032252,3.566646,6.94615,14.857717,3.232499,6.295831
18.673976,4.643063,10.236935,16.803918,4.339872,9.447874,14.48123,3.995184,7.572827,13.736624,3.588913,7.07409,7.094186,4.473811,3.426204,16.978068,3.635938,8.766618,16.573475,2.550854,7.942296,15.056239,3.59744,6.952101,14.871088,3.287421,6.286159
18.681405,4.637578,10.251452,16.823923,4.325635,9.458469,14.500271,4.031459,7.58378,13.779117,3.672411,7.067943,7.116848,4.410324,3.507561,16.996598,3.630588,8.777135,16.604538,2.548994,7.957052,15.075064,3.621239,6.936182,14.888378,3.34678,6.268419
18.696744,4.633962,10.2779,16.839182,4.316437,9.470465,14.529406,4.072428,7.583037,13.795026,3.742056,7.075748,7.13717,4.331083,3.553621,17.013042,3.62686,8.789625,16.635132,2.553138,7.98347,15.093822,3.644211,6.925833,14.903437,3.401095,6.254522
18.707165,4.632437,10.313516,16.851415,4.302314,9.481744,14.555535,4.109646,7.587193,13.816437,3.8146,7.086269,7.164178,4.228849,3.596828,17.030087,3.624471,8.805814,16.646685,2.549565,7.981124,15.106964,3.667764,6.919801,14.929156,3.455132,6.246169
