"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
14.161914,5.321564,4.445564,11.655921,5.077777,4.427243,8.773874,4.459041,3.535024,7.260186,3.915293,3.033704,-0.261045,5.077957,1.06914,11.837526,4.004644,3.701416,10.852639,2.772244,3.417081,8.934787,3.746494,2.683019,8.439495,3.086112,2.496769
14.183358,5.345126,4.447801,11.681139,5.071235,4.432031,8.787121,4.486667,3.544113,7.267709,3.987468,3.017929,-0.235685,4.871223,1.1378,11.870667,4.021231,3.715727,10.892282,2.793957,3.424733,8.946029,3.772754,2.674779,8.427374,3.156107,2.494817
14.199483,5.389205,4.451718,11.705099,5.073541,4.440329,8.801287,4.501041,3.546181,7.281149,4.086741,2.995226,-0.207775,4.630296,1.246799,11.894918,4.022825,3.710891,10.932273,2.799212,3.429703,8.965469,3.802547,2.665933,8.426051,3.225823,2.490537
14.219689,5.420729,4.460977,11.720733,5.08064,4.445431,8.817729,4.51212,3.554814,7.271158,4.178804,2.976746,-0.210001,4.406509,1.33438,11.914602,4.036868,3.713781,10.974465,2.810371,3.422147,8.972656,3.847527,2.663248,8.407156,3.300295,2.477407
14.228953,5.448089,4.48767,11.732512,5.089986,4.450902,8.839707,4.512768,3.556744,7.27918,4.255575,2.971766,-0.244994,4.14902,1.384892,11.942113,4.051249,3.718083,11.021982,2.806428,3.41495,8.975155,3.879284,2.664259,8.416727,3.343358,2.484211
14.240257,5.481966,4.504253,11.743161,5.115221,4.458423,8.862741,4.502413,3.561355,7.29196,4.314947,2.973213,-0.265976,3.85278,1.413452,11.972703,4.055468,3.724648,11.068056,2.822282,3.37682,8.993039,3.886186,2.662354,8.404962,3.372857,2.483171
14.243477,5.513677,4.535823,11.757756,5.119531,4.460603,8.886786,4.483479,3.580686,7.296767,4.345335,2.976084,-0.3307,3.571671,1.420302,11.996234,4.072075,3.729069,11.108187,2.837707,3.34849,9.002172,3.883252,2.664357,8.415661,3.389811,2.485966
14.2421,5.549114,4.565219,11.764126,5.138315,4.475886,8.905576,4.479479,3.594171,7.325489,4.366119,2.972102,-0.365834,3.273381,1.403612,12.022194,4.093043,3.743236,11.152221,2.839268,3.304344,9.011882,3.892492,2.674163,8.416683,3.396769,2.496106
14.236651,5.58562,4.59921,11.769022,5.157937,4.48588,8.918615,4.463039,3.6028,7.347768,4.381638,2.984798,-0.381863,3.016138,1.384855,12.044961,4.116613,3.759173,11.191541,2.867071,3.299246,9.021287,3.872204,2.693337,8.436127,3.394017,2.532858
14.236975,5.61954,4.633648,11.780863,5.181896,4.498208,8.932477,4.443062,3.616463,7.372985,4.365006,2.995493,-0.37668,2.782872,1.351401,12.063821,4.147943,3.771462,11.243128,2.892558,3.271874,9.041346,3.861877,2.708939,8.443955,3.375775,2.562354
14.241354,5.656829,4.675423,11.784334,5.204135,4.500657,8.947492,4.423195,3.630286,7.387177,4.326213,3.000825,-0.385365,2.581379,1.304526,12.080575,4.175386,3.776915,11.271032,2.904686,3.244313,9.058049,3.848773,2.728004,8.455766,3.356932,2.588343
14.232234,5.704468,4.71501,11.782164,5.24505,4.520466,8.964474,4.418659,3.640741,7.401454,4.309873,3.023919,-0.384531,2.425983,1.245332,12.092919,4.199241,3.795872,11.312067,2.935525,3.236407,9.072593,3.82454,2.743767,8.478114,3.320463,2.616077
14.233936,5.739719,4.729717,11.775807,5.277999,4.529905,8.982447,4.394083,3.653207,7.42434,4.263588,3.043012,-0.382086,2.248875,1.16011,12.10199,4.238969,3.817782,11.331402,2.980453,3.261007,9.099542,3.801618,2.764276,8.501289,3.286483,2.64336
14.235116,5.770485,4.744565,11.772194,5.320862,4.551659,8.995492,4.377833,3.66205,7.43821,4.215701,3.063844,-0.358919,2.066249,1.080332,12.10482,4.289048,3.837721,11.344089,3.012611,3.287203,9.118079,3.770174,2.793413,8.523895,3.257632,2.663356
14.234217,5.822471,4.751685,11.772999,5.365186,4.556261,9.016804,4.34957,3.678085,7.456203,4.168908,3.078674,-0.313887,1.916386,1.021633,12.109392,4.33114,3.861178,11.349189,3.052747,3.306597,9.142242,3.764442,2.812811,8.547239,3.223279,2.688068
14.235134,5.866877,4.751367,11.770107,5.420628,4.568242,9.028965,4.356931,3.702724,7.476267,4.091854,3.096096,-0.211364,1.852221,0.996963,12.116236,4.381133,3.880938,11.353655,3.098477,3.34831,9.166325,3.748263,2.831699,8.59711,3.196909,2.715151
14.239767,5.91902,4.751373,11.767438,5.470741,4.570408,9.043793,4.357562,3.738464,7.496859,4.046868,3.126467,-0.17385,1.995946,1.047058,12.116076,4.434738,3.897347,11.366636,3.128917,3.366409,9.190644,3.748333,2.861456,8.641013,3.162449,2.73644
14.238177,5.938968,4.743962,11.764863,5.514848,4.585075,9.04869,4.365726,3.756279,7.517818,4.002235,3.157226,-0.265464,2.21159,1.03031,12.113146,4.489576,3.897419,11.379655,3.168698,3.383987,9.221253,3.763943,2.898764,8.671317,3.155263,2.777826
14.229792,5.981829,4.746042,11.7644,5.561083,4.587149,9.062134,4.388917,3.781148,7.537091,3.946286,3.191264,-0.35324,2.406469,0.931171,12.104663,4.537841,3.88612,11.391948,3.214646,3.401125,9.235196,3.779157,2.92012,8.701908,3.135043,2.793024
14.229541,6.027582,4.750452,11.760954,5.606671,4.586242,9.065793,4.412302,3.796428,7.556819,3.902688,3.214572,-0.421886,2.616043,0.913511,12.101766,4.594033,3.891168,11.396842,3.267204,3.431817,9.250769,3.812813,2.947394,8.725913,3.127273,2.813814
14.227172,6.062822,4.750487,11.753835,5.66224,4.585065,9.06651,4.462749,3.800557,7.578521,3.859398,3.247304,-0.479013,2.845163,0.891387,12.100319,4.646548,3.887987,11.423856,3.301353,3.423991,9.262955,3.835444,2.971565,8.756848,3.138803,2.839834
14.226972,6.094838,4.760364,11.746504,5.713267,4.59181,9.067473,4.504914,3.819717,7.594079,3.84735,3.274301,-0.517881,3.069756,0.91394,12.099451,4.703651,3.883391,11.439786,3.356091,3.396178,9.269388,3.866842,2.989348,8.787754,3.154313,2.864052
14.220953,6.124596,4.773053,11.739749,5.77514,4.588421,9.069187,4.563274,3.828759,7.606636,3.84462,3.307064,-0.563417,3.296839,0.936348,12.103856,4.747849,3.879619,11.443586,3.388743,3.370622,9.272056,3.91583,3.009298,8.802626,3.180113,2.877118
14.214549,6.153551,4.798307,11.724636,5.822114,4.592867,9.056726,4.652764,3.834361,7.61419,3.866724,3.333764,-0.587537,3.501151,0.954393,12.096704,4.796204,3.887279,11.420099,3.442722,3.329426,9.270686,3.977524,3.024315,8.810286,3.225408,2.879203
14.210296,6.173809,4.808232,11.720573,5.864391,4.589806,9.04942,4.726329,3.83795,7.616371,3.917695,3.363757,-0.588635,3.659245,0.975999,12.069126,4.835074,3.880566,11.383548,3.464753,3.344688,9.262957,4.057321,3.02661,8.809252,3.287816,2.878235
14.207183,6.182427,4.82081,11.713775,5.896889,4.594391,9.030725,4.811187,3.839748,7.612686,3.980685,3.375039,-0.575897,3.802616,0.978757,12.050673,4.852009,3.874724,11.325708,3.510813,3.365683,9.245019,4.142781,3.021977,8.806658,3.366679,2.86042
14.209032,6.177048,4.836007,11.708965,5.923488,4.606514,9.014146,4.904255,3.833509,7.605508,4.048269,3.378882,-0.570322,3.961929,0.977749,12.017636,4.867701,3.865185,11.260432,3.550745,3.374058,9.230117,4.224006,3.011071,8.809786,3.432038,2.830711
14.212288,6.173879,4.851368,11.704349,5.949524,4.613711,8.992441,4.991931,3.833614,7.587953,4.138356,3.382968,-0.554056,4.105722,0.970122,12.004668,4.898484,3.861504,11.180303,3.578332,3.398062,9.210946,4.309726,2.985199,8.801053,3.516875,2.805386
14.222932,6.167565,4.859014,11.707327,5.955385,4.6237,8.975641,5.076963,3.828975,7.57124,4.225268,3.379462,-0.548278,4.27172,0.976339,11.981387,4.915589,3.858022,11.11362,3.61294,3.410983,9.183368,4.384571,2.973544,8.790507,3.612859,2.786138
14.23608,6.155153,4.856785,11.707179,5.961183,4.633644,8.947467,5.173434,3.820641,7.54621,4.343721,3.377423,-0.551853,4.43643,0.980168,11.958115,4.93047,3.854593,11.038317,3.663904,3.423916,9.163923,4.480511,2.95786,8.770682,3.710726,2.762473
14.242267,6.151248,4.861562,11.712525,5.96168,4.638462,8.938872,5.222559,3.82022,7.534259,4.410122,3.378542,-0.556235,4.582281,0.990301,11.944792,4.936844,3.854114,11.024678,3.673014,3.421786,9.148581,4.512942,2.942096,8.761956,3.766232,2.752795
