"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
369.740597,160.096312,542.203527,214.703625,732.56262,342.949598,798.247076,379.58785,1330.402007,578.391109,513.584046,261.540766,535.823427,315.815356,688.701253,391.422081,713.427563,427.808077
369.917935,160.311311,542.442866,213.937153,734.216243,344.267013,799.843117,380.555349,1328.307203,579.116733,514.11606,261.325767,537.020458,315.331607,690.151964,392.655646,715.422614,430.871821
370.627287,160.526311,543.152217,213.650487,735.679281,345.55701,800.441632,381.280972,1327.110172,582.382039,514.960699,261.347394,539.680527,315.170358,692.147015,393.784394,716.619645,435.548062
370.804625,160.74131,543.743343,213.363821,736.743308,346.202009,801.239653,382.974094,1322.022791,586.010157,515.118333,261.347394,540.478547,313.88036,693.87606,394.751892,719.54572,438.773056
371.513976,161.816308,544.57092,213.220488,737.807336,346.363259,801.838168,383.215968,1319.927987,588.187028,516.064135,261.729616,541.409571,313.396611,695.738108,395.71939,721.008758,441.030552
372.04599,162.676307,545.516722,213.220488,739.004367,347.008258,802.436683,383.215968,1319.628729,588.912651,516.69467,260.965173,542.739605,313.074112,697.334149,396.525638,722.205789,444.094296
372.400666,163.321305,545.871398,212.933822,739.669384,347.653256,802.436683,384.183466,1318.730956,590.363898,517.325204,261.538505,544.601653,312.751612,698.53118,397.654386,723.40282,445.868042
372.755341,163.966304,546.462525,213.077155,741.664435,348.459505,803.434209,384.667216,1319.628729,594.354828,518.113373,261.156284,546.596704,311.622864,700.526231,398.299385,724.466847,446.513041
373.287355,164.611303,547.171876,213.650487,742.595459,348.943254,805.628766,386.118463,1321.125018,596.894511,518.113373,261.347394,547.128718,310.816616,701.856265,398.783134,726.062888,448.125538
373.464693,165.686301,547.644777,214.223819,743.79249,349.104503,806.825796,387.327835,1324.416852,599.797005,519.059175,262.302948,548.059742,310.010368,703.98432,399.105633,727.525926,448.770536
373.819369,166.976298,548.235903,214.510486,745.255527,349.588253,806.825796,386.360337,1327.110172,600.88544,520.004977,262.685169,548.591756,309.365369,706.112375,399.428133,728.323946,448.286787
374.706058,168.051296,548.708805,215.227151,747.915596,350.717,807.224807,387.085961,1329.504233,602.336688,520.793145,263.258502,549.389776,307.914122,707.708416,399.266883,729.121967,448.448037
375.41541,168.696295,549.299931,215.370484,749.777644,351.361999,807.424312,387.327835,1332.796068,603.062311,521.738947,264.405166,550.3208,306.946624,709.43746,399.105633,731.117018,449.254286
375.947424,169.771293,549.654607,215.65715,752.703719,352.329497,807.424312,387.811584,1336.087903,604.150746,522.211849,264.405166,550.985817,306.624124,711.166505,398.783134,733.245073,449.415535
376.302099,170.416292,550.127508,216.087149,752.836722,352.490747,807.224807,387.56971,1339.978253,605.601994,523.157651,264.405166,552.980869,306.624124,713.29456,398.138135,734.575107,448.448037
377.188789,173.211286,550.836859,216.517148,753.634743,352.490747,808.820848,388.053459,1342.073057,606.690429,523.788185,264.405166,554.044896,306.785374,715.422614,397.654386,736.570159,447.15804
377.188789,173.641285,551.30976,216.803814,754.29976,352.168248,810.416889,388.779083,1344.167861,608.504488,525.049255,265.55183,554.709913,305.495376,717.284662,397.170637,737.900193,444.900544
377.543465,174.501284,551.798088,216.990006,755.230784,351.523249,811.214909,389.020957,1345.963407,609.955735,525.995057,265.169609,556.172951,305.334127,718.082683,396.686888,739.097224,442.804298
378.252816,175.791281,552.428623,217.658893,756.161808,351.200749,812.81095,389.746581,1348.955984,612.858229,526.940859,265.934052,557.502985,305.011627,719.14671,396.203139,740.560261,439.901804
378.962168,177.081279,553.059158,217.94556,756.693822,350.87825,815.404517,390.714079,1350.153015,614.672288,527.41376,266.316273,558.966023,303.88288,720.077734,395.55814,742.422309,437.160559
379.848857,178.156276,553.610876,219.37889,757.225835,350.394501,817.599074,391.923451,1351.948561,616.123536,527.098493,267.654049,560.296057,302.754132,720.875755,394.751892,745.082378,434.258065
380.558209,179.231274,553.926143,220.429999,757.757849,350.072002,818.596599,391.923451,1352.846334,616.123536,527.886661,269.374045,562.823122,300.496636,721.008758,394.913142,748.141456,431.194321
380.912885,179.876273,554.162594,222.05444,758.289863,349.910752,819.594125,391.681577,1352.547076,615.0351,528.044295,271.285153,563.887149,299.690388,721.540772,394.429393,750.003504,427.969327
381.090223,180.306272,554.24141,223.105549,758.688873,349.104503,820.19264,391.197828,1353.145592,613.221041,528.359562,271.476263,566.281211,299.045389,721.673775,393.300645,752.796576,424.583084
381.799574,181.38127,554.24141,224.443325,758.821877,349.104503,821.988187,389.262832,1351.948561,607.416053,529.147731,272.240706,568.409266,299.529138,721.540772,392.655646,754.791627,421.19684
382.197295,181.807326,554.24141,225.685544,758.95488,348.782004,822.985712,389.262832,1349.255242,601.248252,529.778265,273.769592,569.7393,299.851637,721.673775,391.688148,756.254665,417.971847
382.55197,182.667324,554.24141,226.927764,758.95488,348.782004,823.185217,388.295333,1346.262665,592.903581,530.093533,273.769592,570.803327,300.174137,721.008758,391.526898,757.451696,416.520599
382.788421,183.527323,554.00496,228.074429,758.422866,348.459505,822.985712,388.053459,1344.167861,587.824216,530.093533,274.342924,571.069334,301.302885,719.944731,392.010647,757.850706,414.101854
382.788421,183.240657,554.00496,229.029982,758.289863,348.459505,822.786207,388.295333,1341.474541,582.019227,529.935899,274.725146,570.803327,301.786634,719.013707,392.816896,758.648727,411.844359
382.906646,183.957322,553.926143,230.176647,757.890853,348.298255,821.389671,387.085961,1340.277511,580.205168,529.935899,275.6807,570.005307,303.88288,717.816676,393.623144,759.313744,409.748113
382.788421,184.387321,553.926143,231.1322,757.225835,348.782004,820.392146,386.118463,1340.876026,580.205168,529.620632,276.254032,568.276262,305.495376,717.018655,393.623144,759.712754,409.748113
382.906646,184.81732,553.610876,231.992199,757.092832,348.943254,819.39462,385.634714,1339.978253,578.391109,529.620632,276.636253,566.148208,305.979125,715.954628,394.268143,758.249716,411.844359
383.024871,185.677319,553.137975,232.565531,756.826825,349.910752,818.796104,385.634714,1339.978253,578.028297,529.462998,276.636253,563.089129,306.140375,715.156607,394.913142,757.451696,412.973106
383.143097,185.820652,552.270989,232.852197,755.629794,351.0395,818.796104,385.876588,1340.277511,578.391109,529.305364,277.209585,562.557115,307.591622,714.890601,395.55814,756.653675,415.069352
383.143097,186.107318,551.325187,233.138863,754.69877,351.200749,818.99561,386.602212,1339.678995,578.391109,528.201929,278.165139,560.562064,308.236621,713.560566,397.493137,756.387668,418.294346
