"specimen","speedBL","alpha"
"1.75BL","se","42.9656560291584"
"1.75BL","se","43.2050582811812"
"1.75BL","se","43.3360538940173"
"1.75BL","se","43.4378491238387"
"1.75BL","se","43.5884130567801"
"1.75BL","se","43.6130885056508"
"1.75BL","se","43.6825059447777"
"1.75BL","se","43.7071852222814"
"1.75BL","se","43.8256925850947"
"1.75BL","se","43.8451456713769"
"1.75BL","se","43.9375475158984"
"1.75BL","se","44.3038558446199"
"1.75BL","se","44.6229419737981"
"1.75BL","se","44.8726756861171"
"1.75BL","se","45.0781863886296"
"1.75BL","se","45.7828423411983"
"1.75BL","se","46.0894054385817"
"1.75BL","se","46.456629888524"
"1.75BL","se","46.6951246369894"
"1.75BL","se","47.2113300778081"
"1.75BL","se","47.6433814475727"
"1.75BL","se","47.9080606347477"
"1.75BL","se","48.2335206112047"
"1.75BL","se","48.4616384328559"
"1.75BL","se","48.6528875324969"
"1.75BL","se","48.8452074332144"
"1.75BL","se","49.0775246060277"
"1.75BL","se","49.2154934737463"
"1.75BL","se","49.2989143705812"
"1.75BL","se","49.1663913432562"
"1.75BL","se","49.1306848324576"
"1.75BL","se","48.9480493975105"
"1.75BL","se","48.7377555592795"
"1.75BL","se","48.4714691703956"
"1.75BL","se","48.2975067050568"
"1.75BL","se","47.9481172815812"
"1.75BL","se","47.7084373509116"
"1.75BL","se","47.4786053800737"
"1.75BL","se","47.4246638599263"
"1BL","se","47.3268783653617"
"1BL","se","47.2740264341961"
"1BL","se","47.0635162193281"
"1BL","se","46.9986126100222"
"1BL","se","46.9952054878013"
"1BL","se","46.9986126100222"
"1BL","se","46.8319716773355"
"1BL","se","47.0339177186808"
"1BL","se","47.0339177186808"
"1BL","se","47.1884323630327"
"1BL","se","47.1489137448128"
"1BL","se","47.0192997031498"
"1BL","se","47.0854992396122"
"1BL","se","47.0182734483528"
"1BL","se","46.9937744731721"
"1BL","se","46.6950202272129"
"1BL","se","46.7727202088754"
"1BL","se","46.6911849145763"
"1BL","se","46.8772254477802"
"1BL","se","46.8188641394607"
"1BL","se","46.944188617241"
"1BL","se","47.1217151346163"
"1BL","se","47.2749019525845"
"1BL","se","47.3666357432289"
"1BL","se","47.2045525923783"
"1BL","se","47.2444605175122"
"1BL","se","47.2328547891343"
"1BL","se","47.2518697196019"
"1BL","se","47.384442468806"
"1BL","se","47.27280121749"
"1BL","se","47.3081453485647"
"1BL","se","47.4576768394724"
"1BL","se","47.6394776376023"
"1BL","se","47.8417992447622"
"1BL","se","47.9871675441733"
"2BL","se","33.5598232923151"
"2BL","se","33.8112470241778"
"2BL","se","33.9899055969701"
"2BL","se","34.0359758118935"
"2BL","se","34.2924965376389"
"2BL","se","34.4723486517758"
"2BL","se","34.5914868508566"
"2BL","se","34.8079484188956"
"2BL","se","34.9451150118239"
"2BL","se","35.2247010825343"
"2BL","se","35.3981352149869"
"2BL","se","35.5053480809839"
"2BL","se","35.5278776249309"
"2BL","se","35.5813251762179"
"2BL","se","35.6312043732939"
"2BL","se","35.5636192545339"
"2BL","se","35.5660662586657"
"2BL","se","35.3628540672298"
"2BL","se","35.2955735539784"
"2BL","se","35.02110861826"
"2BL","se","34.9700632225574"
"2BL","se","34.9558284232946"
"2BL","se","34.6862967430071"
"2BL","se","34.680821935618"
"2BL","se","34.4827585241807"
"2BL","se","34.445438025544"
"2BL","se","34.1660784063942"
"2BL","se","34.2723451872502"
"2BL","se","34.1547833356577"
"2BL","se","34.0864506267521"
"2BL","se","33.9518720304712"
"2BL","se","33.9317434337861"
"2BL","se","33.879372049657"
"2BL","se","33.711051505974"
"2BL","se","33.6597734146535"
"2BL","se","33.6259085052676"
"2BL","se","33.5769876428698"
"2BL","se","33.5160702671569"
"2BL","se","33.5607425951464"
"2BL","se","33.6673307976855"
"2BL","se","33.6392697802055"
"2BL","se","33.7121064899815"
"2BL","se","33.7307068097849"
"3BL","se","25.8918453808969"
"3BL","se","25.8379552766863"
"3BL","se","25.7267916735591"
"3BL","se","25.6702186021816"
"3BL","se","25.6298918944775"
"3BL","se","25.6584277579678"
"3BL","se","25.665707561727"
"3BL","se","25.6994752337881"
"3BL","se","25.8277267930417"
"3BL","se","25.9762240874648"
"3BL","se","26.2756029194969"
"3BL","se","26.5221791563432"
"3BL","se","26.7451102596034"
"3BL","se","27.2927813525028"
"3BL","se","27.6589855689399"
"3BL","se","28.1014985651279"
"3BL","se","28.6201422812141"
"3BL","se","28.895166069687"
"3BL","se","29.3188278221387"
"3BL","se","29.5923993436614"
"3BL","se","29.8399644582064"
"3BL","se","30.0748846554256"
"3BL","se","30.1482200663026"
"3BL","se","30.3820795117503"
"3BL","se","30.3713786420525"
"3BL","se","30.5877354168484"
"3BL","se","30.8152489322764"
"3BL","se","31.0188151176521"
"3BL","se","30.9931557117794"
"3BL","se","30.9025006788279"
"3BL","se","31.0082236080861"
"3BL","se","30.8765460244807"
"3BL","se","30.5487861102265"
"3BL","se","30.3992078660537"
"3BL","se","30.2236072513709"
"3BL","se","30.0811010505185"
"3BL","se","29.6643197260085"
"3BL","se","29.2704440054281"
"3BL","se","28.8684169707923"
"3BL","se","28.4865669703029"
"3BL","se","28.0480203495129"
"3BL","se","27.9033548082013"
"3BL","se","27.8234415899695"
"4BL","se","14.162246134232"
"4BL","se","14.260132929693"
"4BL","se","14.5685788122947"
"4BL","se","15.0159225170451"
"4BL","se","15.4312118767405"
"4BL","se","15.6828088740351"
"4BL","se","16.2608801267849"
"4BL","se","17.0901876665227"
"4BL","se","17.4642499812241"
"4BL","se","17.7177562817982"
"4BL","se","18.1682399652351"
"4BL","se","18.7934616633761"
"4BL","se","19.154266782414"
"4BL","se","19.2743879090037"
"4BL","se","19.4927586647936"
"4BL","se","19.701951606373"
"4BL","se","19.7038928257488"
"4BL","se","19.7669870332668"
"4BL","se","19.8231027036295"
"4BL","se","19.8350560902294"
"4BL","se","19.7739145756972"
"4BL","se","19.6516940719506"
"4BL","se","19.5211992349843"
"4BL","se","19.584312662415"
"4BL","se","19.4491733680845"
"4BL","se","19.30526980229"
"4BL","se","19.1373997866415"
"4BL","se","19.2640231450037"
"4BL","se","19.1999267697185"
"4BL","se","19.4705607607291"
"4BL","se","19.6811760760378"
"4BL","se","19.7788200732851"
"4BL","se","19.9688560692526"
"4BL","se","20.1186845734343"
"4BL","se","20.1951173331005"
"4BL","se","20.2872597656992"
"5BL","se","14.5211194066663"
"5BL","se","15.1135045880288"
"5BL","se","15.4095971629953"
"5BL","se","15.8199539415531"
"5BL","se","16.4111306512187"
"5BL","se","16.5389325543893"
"5BL","se","17.0375388362944"
"5BL","se","17.445666122173"
"5BL","se","17.5833625647626"
"5BL","se","18.0970452606736"
"5BL","se","18.3374710764123"
"5BL","se","18.4955744639485"
"5BL","se","18.5729548210008"
"5BL","se","18.4226683315546"
"5BL","se","18.3167144910032"
"5BL","se","18.2269151685125"
"5BL","se","18.0182720906166"
"5BL","se","17.7849835236499"
"5BL","se","17.6096998757639"
"5BL","se","17.4638954558539"
"5BL","se","17.4685167023606"
"5BL","se","17.5908965332674"
"5BL","se","17.7178007373755"
"5BL","se","17.8242767485733"
"6BL","se","12.5688728075584"
"6BL","se","12.5799716996905"
"6BL","se","12.4464619369241"
"6BL","se","12.3551097960309"
"6BL","se","12.1481196208077"
"6BL","se","12.0974747606577"
"6BL","se","11.9174130804684"
"6BL","se","11.6546755865185"
"6BL","se","11.4601289024814"
"6BL","se","11.2771462388497"
