"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
15.854027,9.357489,6.872513,13.794601,9.794533,6.399479,10.696066,10.502611,3.804729,9.253614,10.190921,5.265473,5.459816,10.939501,12.538605,13.772474,9.192728,3.968552,12.243214,8.533954,0.832321,10.960465,9.993006,1.72872,10.63463,9.495281,5.411243
15.839956,9.340465,6.844599,13.776018,9.745579,6.393259,10.666873,10.500374,3.849201,9.240662,10.238631,5.329137,5.405982,11.080439,12.426785,13.738283,9.148301,3.900507,12.185268,8.468558,0.833224,10.888519,10.001705,1.741168,10.56645,9.538776,5.539667
15.82376,9.322833,6.812091,13.76465,9.695353,6.331703,10.631642,10.470173,3.945555,9.211925,10.294191,5.381617,5.33687,11.213383,12.313965,13.721151,9.102976,3.793957,12.148418,8.431931,0.971194,10.836552,9.988586,1.952602,10.512482,9.574215,5.692031
15.820134,9.324795,6.762734,13.748569,9.644622,6.283827,10.606295,10.435236,3.996869,9.170375,10.354893,5.349435,5.318859,11.255438,12.268311,13.705689,9.053668,3.729395,12.112199,8.403624,0.575444,10.767721,9.966568,2.046834,10.465235,9.603674,5.830439
15.816433,9.335939,6.72277,13.741966,9.599233,6.268928,10.56904,10.359743,4.069812,9.148127,10.411012,5.393546,5.269641,11.171881,12.214677,13.700057,8.999796,3.67015,12.090256,8.353708,0.151228,10.713161,9.904578,2.127177,10.408399,9.61472,5.937243
15.821807,9.354897,6.682554,13.735072,9.555826,6.268609,10.546651,10.274447,4.141615,9.109114,10.452605,5.411921,5.141837,11.046069,12.164307,13.702856,8.949185,3.615809,12.084373,8.315019,-0.407534,10.647893,9.843052,2.138006,10.38382,9.592504,6.046313
15.825242,9.378585,6.638578,13.731537,9.531779,6.254086,10.513865,10.175161,4.192806,9.083322,10.467023,5.388639,5.000861,10.866317,12.117134,13.705088,8.910798,3.570013,12.112116,8.264316,-0.746944,10.593097,9.761569,2.128388,10.364034,9.559589,6.109429
15.834173,9.3928,6.59301,13.732565,9.519353,6.243339,10.508594,10.063001,4.243488,9.048498,10.431487,5.383515,4.840329,10.674606,12.057517,13.713643,8.872109,3.526454,12.140801,8.208549,-0.734504,10.543744,9.65742,2.215363,10.30645,9.503021,6.043202
15.838872,9.407738,6.561141,13.737211,9.507386,6.215965,10.508475,9.934767,4.288344,9.055654,10.346198,5.465464,4.694218,10.453854,12.011186,13.723847,8.852357,3.550548,12.180114,8.158335,-0.670918,10.493488,9.553134,2.200157,10.232306,9.446918,5.959711
15.842848,9.416478,6.526069,13.742831,9.500094,6.196493,10.500975,9.827327,4.287519,9.048895,10.245858,5.503622,4.576394,10.228554,11.97111,13.729495,8.842663,3.572946,12.216701,8.127173,-0.573041,10.454695,9.442393,2.019261,10.199346,9.339088,5.873033
15.847351,9.417623,6.506957,13.749134,9.502873,6.158473,10.483415,9.723727,4.24853,9.046041,10.136557,5.521893,4.487988,10.024265,11.927703,13.731169,8.833014,3.541354,12.230329,8.102619,-0.489689,10.447281,9.345723,1.868126,10.165159,9.219592,5.772687
15.855297,9.398773,6.487477,13.759913,9.515239,6.121845,10.486758,9.643339,4.231519,9.042548,10.010564,5.526687,4.366672,9.848826,11.827901,13.735196,8.832652,3.533632,12.234357,8.058724,-0.409708,10.428148,9.262599,1.660844,10.130134,9.090713,5.582512
15.866307,9.367784,6.477018,13.769757,9.526941,6.09937,10.494341,9.567299,4.190893,9.021507,9.872241,5.486376,4.211964,9.675964,11.68253,13.74193,8.838767,3.478004,12.229505,8.048671,-0.216645,10.475235,9.178183,1.613368,10.114614,8.977185,5.394945
15.879303,9.34134,6.471574,13.790231,9.546545,6.054777,10.517651,9.519208,4.180749,9.005386,9.73794,5.430388,4.008478,9.462747,11.457017,13.738533,8.838889,3.448825,12.220708,8.065399,0.089872,10.515155,9.121798,1.552018,10.120663,8.856865,5.261096
15.889908,9.307898,6.468578,13.798884,9.544123,6.03244,10.542184,9.499882,4.154865,8.998029,9.629965,5.310721,3.946991,9.333978,11.336107,13.747792,8.8448,3.409741,12.202688,8.093785,0.199885,10.57671,9.092265,1.579774,10.142681,8.779352,5.10765
