"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
535.620718,340.664335,666.791639,385.537725,824.156178,497.460888,895.205369,549.43664,1264.889568,754.930685,649.576529,441.005599,677.299435,505.789899,788.203949,551.097075,817.331699,588.345752
533.825172,338.729339,664.770719,385.102114,822.205461,497.460888,894.606854,548.227267,1261.298476,741.86946,648.335164,441.220599,675.985241,507.20045,787.405929,551.580824,814.339122,588.103878
532.193991,336.915897,663.041675,384.457115,821.318772,497.245888,893.195693,547.203276,1258.006641,728.808236,645.852434,440.3606,675.054217,507.845448,786.208898,551.822698,813.541101,589.555125
530.99696,335.6259,661.711641,383.650867,819.900068,496.815889,891.998662,545.913279,1254.714806,719.737941,643.547041,437.995605,673.99019,508.974196,786.009393,552.306447,812.743081,590.522623
529.001909,332.884655,660.115599,382.360869,817.949352,495.955891,890.269618,545.10703,1253.517776,708.127964,642.305676,437.780606,673.325173,508.006698,785.410877,552.064573,811.94506,591.248246
527.671875,330.14341,658.253552,381.070872,816.530648,495.310892,889.20559,544.300782,1252.620003,703.048599,640.177621,436.275608,671.596128,506.87795,784.413352,552.064573,810.548524,591.006372
525.676823,327.724665,655.46048,379.619624,814.757269,494.450894,887.875556,543.817033,1253.218518,700.146104,638.049566,434.555612,669.202066,505.104204,782.617805,551.580824,809.750504,590.764497
523.681772,325.467169,653.731435,378.329627,812.98389,493.590895,886.013508,542.688285,1255.911837,698.694857,636.098849,432.835615,667.074012,503.814206,780.423249,550.613326,808.154463,590.522623
521.686721,322.080926,651.337374,376.55588,809.61447,491.870899,883.75245,541.559537,1259.802187,697.606422,634.502808,430.685619,664.812954,501.234211,779.425723,550.129577,807.356442,589.796999
520.223683,319.662181,648.943312,374.298385,807.13174,491.0109,881.624395,540.430789,1264.590311,696.880798,632.906767,428.750623,663.482919,497.041719,777.630177,548.920204,806.159411,589.071376
518.095628,315.953438,647.081264,372.847138,804.294334,489.935903,879.895351,539.463291,1268.480661,696.517986,629.892023,425.740629,662.418892,493.816726,775.834631,547.952706,804.56337,588.345752
516.499587,311.599696,644.820206,370.750892,801.456927,488.215906,877.501289,538.173294,1272.371011,696.155175,627.409292,423.375634,662.019882,489.946733,773.640074,546.01771,803.366339,587.378254
514.770543,308.052203,642.027134,368.009647,797.555493,486.710909,874.176204,536.560797,1276.859876,695.792363,625.635913,420.795639,660.822851,486.56049,771.046508,544.082714,800.373762,584.717634
513.282415,305.167196,639.899079,366.5584,795.959452,485.850911,871.516135,535.2708,1281.049484,696.155175,622.621169,417.140646,657.098755,481.4005,769.051456,542.631466,798.777721,583.024513
512.085384,303.07095,638.037031,363.333406,792.76737,483.485915,868.59006,533.658303,1285.239092,697.606422,620.670452,414.345651,653.773669,472.370518,767.25591,539.728972,796.78267,580.847642
509.292312,299.684707,635.775973,361.075911,790.461978,481.980918,865.530981,531.723306,1290.62573,697.606422,618.542398,411.550657,653.318601,469.105612,765.260859,537.552101,795.585639,579.880144
506.49924,296.620963,633.647918,358.173416,787.092558,479.830922,862.306622,529.748795,1293.31905,697.969234,616.059667,407.895664,650.392525,463.139373,761.669766,534.407732,792.992072,577.703273
503.706168,293.07347,631.519864,355.270922,784.432489,476.820928,859.224008,527.540405,1296.012369,697.24361,614.10895,405.315669,648.397474,459.269381,760.472736,532.714611,790.997021,575.284528
501.44511,290.332225,629.391809,351.723429,782.65911,475.100931,856.001275,524.482633,1296.910142,696.517986,611.980895,402.520674,646.136416,454.915639,757.679664,530.295865,788.906412,572.488076
499.317055,288.397229,626.73174,349.627183,780.353717,472.950936,852.498304,522.444118,1297.508658,695.429551,609.675503,399.295681,643.609351,450.561898,754.886592,528.118995,787.227617,570.195513
497.455007,285.978484,624.470682,346.24094,778.225663,470.80094,850.956997,520.235727,1297.2094,694.341116,607.015434,396.500686,641.614299,447.175654,753.091046,525.700249,785.631576,568.475516
495.060946,283.882238,622.145706,343.462142,776.274946,469.080943,848.014501,518.197213,1296.610884,693.25268,605.064717,394.135691,639.486245,442.660663,750.696984,522.314006,783.680859,566.54052
493.198898,281.785992,620.298835,340.961283,773.969553,466.930947,845.632481,516.328575,1295.114596,691.07581,602.404649,390.910697,637.35819,438.95192,748.302922,520.620884,781.552804,564.175525
490.93784,279.367247,618.082789,338.27461,771.664161,464.780952,843.250461,514.459936,1293.31905,689.624562,599.921918,388.330702,634.831125,434.759429,745.908861,518.927763,779.247411,562.240529
489.474802,277.75475,616.683181,336.294956,769.890782,462.630956,841.569035,512.591298,1290.027215,688.536127,598.148539,385.965707,633.235084,432.179434,744.31282,516.509017,778.006046,560.520532
487.213744,274.852255,614.467135,334.739514,767.940065,460.69596,839.467252,510.382907,1286.436123,688.536127,596.020485,383.385712,631.772046,427.986942,742.118263,514.332147,776.232667,558.155537
485.218692,272.756009,612.484357,332.477053,766.521362,458.760963,837.36547,508.174516,1281.947257,688.536127,593.00574,380.375718,628.978974,424.278199,739.724202,512.155276,773.927274,556.005541
483.489648,270.821013,610.501579,330.355995,764.570645,457.040967,835.684044,506.475754,1277.159134,688.898939,590.877686,378.440721,626.717916,421.698204,736.93113,510.22028,771.976558,553.640545
482.02661,269.208516,608.285533,328.376341,763.329279,455.105971,834.563093,505.116745,1272.371011,688.898939,588.572293,376.505725,623.828309,418.590677,735.135584,507.801534,770.91253,551.49055
481.336981,268.367546,606.536023,326.11388,761.378563,452.955975,832.741548,503.07823,1267.882145,689.261751,586.914228,374.585948,620.636226,414.720685,733.539542,505.624664,768.607137,548.695555
480.465131,267.763542,604.436611,324.134226,759.782521,451.450978,831.060122,500.699963,1263.991795,688.173315,584.431498,372.865951,617.444144,411.656941,732.342512,504.415291,767.365772,546.760559
479.21963,266.555533,602.220565,322.295976,758.009143,449.085982,829.518815,499.171077,1260.69996,688.898939,582.303443,370.930955,615.183086,409.721944,730.746471,502.480295,765.592393,544.180564
477.351379,265.347524,600.937592,320.740534,756.767777,447.580985,827.837389,497.642191,1258.006641,688.536127,580.175388,369.425958,611.591994,407.948198,727.753894,500.545299,763.996352,541.815568
476.230428,264.592519,599.537984,319.609303,754.994398,445.430989,826.436201,495.603677,1255.61258,689.261751,577.337982,367.490961,608.931925,407.141949,726.157853,498.126553,761.690959,539.235573
474.984928,262.931507,598.25501,318.478072,753.398357,443.710993,824.894894,494.074791,1254.116291,689.624562,575.032589,366.200964,605.207829,405.851952,724.761317,496.433432,760.626932,537.300577
473.863977,262.176502,596.5055,316.639822,751.802316,441.990996,823.633824,492.376029,1252.91926,689.624562,572.727196,364.695967,602.414758,404.884454,722.96577,494.982184,758.321539,534.935582
472.369376,260.817492,595.222526,315.508591,750.206275,440.271,822.512874,490.677267,1251.722229,689.987374,570.77648,363.620969,599.222675,405.206953,721.170224,492.805314,756.016147,532.570586
470.874775,259.609483,593.58965,313.670341,748.432896,437.691005,822.092517,489.658009,1250.225941,691.07581,568.293749,361.900972,595.89759,405.368203,718.975668,491.354067,753.17874,530.205591
469.255624,258.401475,592.073408,312.539111,746.482179,435.971008,821.404578,488.031442,1249.02891,691.801433,566.697708,360.825975,592.572504,405.206953,717.180122,488.935321,751.582699,528.700594
467.761023,257.344467,590.207264,310.842265,745.418152,434.466011,819.909977,486.018094,1247.233364,692.164245,565.456343,359.320977,590.178443,404.400705,714.586555,487.000325,749.631983,526.120599
466.390973,256.438461,588.92429,309.711034,743.644773,432.531015,818.415376,484.810086,1245.13856,692.889869,563.860302,357.81598,587.518374,404.884454,712.791009,484.58158,746.4399,523.325605
464.273621,255.230452,587.641316,308.296995,741.694056,430.811018,817.086842,483.199407,1243.941529,693.25268,562.973612,356.955982,585.523323,404.561954,710.795957,482.888458,744.501127,521.507312
462.779021,254.173445,586.708244,307.165765,739.920677,428.876022,815.924375,481.790064,1242.744498,693.615492,561.732247,355.665985,584.193289,404.400705,709.598926,481.679085,741.978988,519.978426
461.65807,253.418439,585.42527,305.89313,738.501974,426.941026,814.263707,479.978051,1241.547468,693.978304,561.022895,355.020986,583.794278,404.561954,707.00536,479.26034,738.896374,519.129045
460.661669,252.210431,584.492198,304.903303,736.905933,425.006029,812.935173,478.367373,1240.051179,695.066739,560.136206,354.375987,583.661275,404.400705,703.813278,476.59972,735.673641,517.770035
458.668868,250.247417,583.325858,303.772072,735.841905,423.501032,811.274505,476.756695,1238.554891,695.066739,559.604192,353.300989,583.129261,405.368203,701.818226,474.664724,732.310789,516.071273
457.027077,248.639086,582.159518,302.499438,734.60054,422.211035,809.613838,475.146017,1234.66454,695.066739,559.072178,352.65599,583.129261,405.690702,700.222185,473.213477,729.088056,513.353254
455.394201,247.507856,580.876544,301.509611,732.827161,420.706038,807.787103,473.535339,1231.073448,695.429551,558.717503,351.795992,582.996258,406.496951,698.227134,470.310983,725.865323,511.654492
454.344495,246.093817,579.943472,300.661188,731.408458,419.201041,806.126436,471.92466,1228.080871,695.429551,558.362827,350.720994,582.730251,405.690702,697.030103,469.585359,723.623421,509.615977
452.478351,244.255567,578.893766,299.671361,729.376829,417.811734,803.66328,470.138451,1223.592006,695.792363,558.185489,349.860996,582.597248,405.368203,695.234557,468.134112,721.661758,508.59672
450.845475,242.841529,577.494158,298.54013,727.882228,416.679226,802.088721,468.865817,1218.205367,697.24361,558.008151,348.785998,581.400217,405.045703,693.838021,467.408488,719.139619,507.407586
449.679135,241.710298,576.561086,297.267496,726.761277,415.546718,800.514163,467.381076,1213.417244,696.517986,557.298799,347.926,582.464244,405.206953,692.042475,466.199116,716.757599,505.8787
448.396161,240.579067,575.394746,296.136265,726.013977,414.867213,798.2398,465.896336,1208.030605,696.880798,556.766786,347.281001,582.996258,405.045703,690.645939,465.231618,714.23546,504.689567
