"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
376.620975,231.335502,502.313791,285.960388,646.722407,422.010658,712.262004,474.010563,1112.509499,671.519523,480.078921,339.237829,514.148304,393.660005,618.026624,473.469039,655.134579,510.233967
376.82048,231.819251,502.448043,285.966208,647.169548,422.9433,712.129001,474.816812,1107.12286,667.165781,480.477931,339.237829,515.780499,394.583104,618.824645,473.952788,655.533589,511.927089
377.019985,232.303,502.980057,286.288707,647.169548,424.072047,712.262004,476.268059,1101.536717,663.537663,481.076447,340.447202,516.578519,394.421854,618.625139,475.404035,655.733094,512.894587
377.418996,231.819251,503.379067,286.127457,647.435554,424.233297,711.995997,477.235557,1095.950573,659.183922,480.876941,340.205327,516.445516,393.454356,619.223655,476.613408,655.199004,514.429127
377.618501,231.577376,503.11306,285.966208,647.302551,425.039545,711.862994,477.880556,1090.763439,655.313929,480.677436,339.963453,518.706574,393.776855,619.42316,476.613408,654.26798,515.074126
377.818006,230.851753,502.448043,285.159959,646.770537,425.200795,711.72999,478.203055,1085.975316,651.443937,480.677436,339.963453,520.036608,393.293106,619.223655,477.097157,653.735967,515.880375
377.818006,230.126129,501.91603,284.192461,646.50453,425.039545,711.197977,478.364305,1082.184719,649.025192,479.879416,339.237829,519.371591,392.486858,619.42316,477.339032,652.272929,517.654121
377.418996,229.158631,501.517019,283.869962,645.839513,424.555796,710.000946,478.525554,1078.793131,648.057693,478.283375,338.512205,519.504594,392.164359,619.02415,477.097157,651.607912,519.427868
376.42147,228.674882,500.718999,283.386213,645.3075,424.394547,709.069922,478.203055,1077.19709,649.267066,476.487828,337.060958,519.105584,391.51936,618.226129,476.613408,650.277878,521.201614
375.822955,227.465509,500.186985,282.902464,644.642483,423.749548,707.739888,477.719306,1077.396595,653.620808,475.490303,336.577209,518.17456,389.745613,617.627614,476.613408,649.346854,521.524114
374.226914,226.739886,499.521968,282.418715,643.977465,423.265799,706.941867,477.396807,1077.795606,659.183922,473.894262,335.851586,517.37654,387.810617,616.031573,475.404035,647.883816,521.040365
373.029883,226.98176,498.723948,281.934966,643.445452,422.6208,706.010843,476.590558,1079.192142,663.053914,473.096241,334.642213,516.977529,384.585623,615.034047,473.952788,646.952792,520.879115
372.032357,226.98176,497.925927,281.128717,642.381424,421.330803,704.414802,475.62306,1080.588678,670.068275,472.497726,334.158464,516.312512,381.19938,614.036521,472.98529,645.888765,520.717865
370.835326,226.739886,497.127906,280.644968,641.583404,419.879556,703.217771,474.655562,1081.586203,676.115139,471.300695,332.949091,514.982478,378.296886,613.038996,471.775918,644.957741,520.234116
369.03978,226.739886,496.063879,279.999969,640.785383,419.557056,702.286747,474.171813,1084.379275,683.1295,469.704654,331.739719,513.12043,375.394391,611.043944,470.082796,643.893713,520.234116
367.244234,226.498011,494.467838,279.032471,639.322346,417.944559,701.089717,473.526814,1087.770862,689.660112,468.308118,330.288471,510.460362,371.846898,609.846914,468.873423,642.962689,519.911617
365.648193,226.014262,492.472787,278.226223,637.593301,417.138311,699.759682,473.043065,1089.765914,697.883846,466.712077,329.079099,507.401283,368.944404,608.051367,467.905925,641.632655,519.266618
363.852647,225.288639,491.009749,277.581224,636.662277,415.848313,698.429648,471.914317,1091.361955,709.251949,465.515046,328.353475,505.273228,367.331907,606.455326,466.696552,639.903611,518.46037
362.655616,224.563015,489.812718,276.936225,634.933233,414.719566,696.833607,471.430568,1091.361955,719.168805,464.11851,327.385977,503.01217,365.88066,605.657306,465.970929,638.70658,517.331622
361.65809,224.079266,488.881694,275.968727,633.470195,413.752067,695.902583,470.62432,1089.765914,731.262531,462.921479,326.176604,501.815139,364.590662,604.65978,465.003431,637.110539,516.202874
360.660564,223.837392,487.684663,275.323729,632.938181,413.107069,695.237566,470.140571,1087.770862,743.356257,461.524943,324.725357,500.884115,363.945664,602.465224,463.068435,634.849481,513.945378
359.264029,223.353643,486.75364,274.67873,631.475144,412.46207,693.907532,469.656822,1085.775811,752.06374,460.128407,323.999734,500.219098,363.461915,601.268193,461.859062,632.455419,511.365383
358.066998,222.628019,485.024595,273.872481,630.411116,411.655822,692.444494,468.850573,1082.783234,756.659356,458.731872,322.790361,499.820088,363.300665,599.871657,460.649689,631.657399,510.559135
357.268977,222.386144,483.960568,273.388732,628.815075,410.204574,691.11446,467.721825,1080.486834,755.660167,457.534841,322.306612,498.889064,363.300665,598.275616,459.440317,630.593371,509.591637
356.271452,221.902395,482.89654,272.259985,627.219034,409.075827,689.784426,466.431828,1076.297226,747.194559,456.33781,321.580988,498.35705,362.978166,596.081059,457.50532,628.19931,508.301639
354.67541,221.176772,482.09852,271.453736,624.824973,407.30208,688.720398,465.46433,1073.903164,740.663946,455.140779,320.855365,497.16002,363.139415,594.285513,455.812199,626.470265,506.850392
353.677885,220.693023,480.901489,270.324988,623.228932,405.528334,687.789374,464.174332,1072.307123,736.552079,454.143253,319.887867,494.765958,363.300665,592.090957,453.635328,623.677193,504.109148
352.480854,219.48365,479.571455,269.196241,621.23388,404.238336,686.45934,463.206834,1074.50168,736.310205,452.946223,318.920369,491.839883,363.461915,589.696895,452.425955,620.751118,501.045404
352.081844,218.274277,478.507427,267.906243,619.770843,403.109588,685.129306,461.755587,1075.898216,735.584581,452.347707,317.227247,490.908859,365.396911,587.302833,450.974708,617.958046,497.65916
351.882339,216.097407,477.310397,266.616246,618.041798,401.497091,682.735244,459.498092,1075.898216,732.682087,451.549687,316.501623,489.977835,367.009408,585.307782,449.039712,616.229002,495.079165
352.081844,213.194912,476.778383,265.648747,616.17975,399.723345,680.474186,457.079346,1075.100195,730.021467,450.552161,315.050376,488.913807,367.331907,582.714215,447.34659,613.83494,491.692922
352.680359,211.018042,475.847359,263.713751,614.450706,398.272098,678.479135,455.628099,1073.703659,726.151475,449.554635,314.082878,487.45077,368.460655,581.118174,445.169719,611.440878,488.629178
353.079369,208.841171,475.182342,262.746253,613.120671,396.337101,676.35108,453.854353,1072.307123,721.555859,448.357605,312.631631,485.588722,369.428153,579.522133,443.718472,608.913813,484.759185
353.677885,206.6643,474.650328,261.295006,611.657634,394.724605,674.223025,451.596857,1070.711082,717.443992,447.559584,311.422258,484.524694,369.266903,578.325102,442.5091,607.849786,483.146689
353.677885,204.245555,474.118314,260.327508,610.72661,392.950858,672.094971,448.855612,1069.514051,714.541497,446.761564,309.971011,483.59367,369.105654,576.928566,440.815978,607.051765,481.856691
353.278874,202.068684,473.453297,258.876261,609.662582,391.015862,670.365926,447.565615,1068.716031,710.187756,446.562058,308.761638,483.061657,368.944404,575.532031,439.364731,606.519752,480.727943
352.680359,200.859311,472.78828,257.425014,608.864562,389.242115,668.769885,445.791868,1068.516526,704.866516,446.163048,308.036015,483.327664,368.299405,574.534505,438.155358,605.854735,480.082945
351.882339,199.649939,472.123263,256.457515,608.598555,388.274617,667.572854,444.179371,1068.317021,699.303402,445.963543,308.036015,483.859677,367.170657,574.135495,437.429735,604.923711,478.792947
351.483328,198.440566,471.325243,255.651267,608.598555,386.82337,667.306847,443.050624,1068.516526,693.982163,445.963543,307.310391,484.524694,366.686908,573.536979,436.704111,604.258693,478.309198
351.283823,197.714943,470.527222,254.845019,608.465552,386.017122,667.173844,442.244375,1068.317021,690.837794,445.764038,307.552266,484.923705,365.396911,573.337474,435.978487,604.12569,477.986699
350.884813,197.231194,470.128212,254.20002,608.332548,385.855872,667.173844,441.921876,1067.91801,687.935299,445.963543,307.068517,484.923705,364.913162,572.738959,435.494738,604.258693,477.825449
