"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
16.899378,3.589326,8.26478,14.958375,3.613068,8.010345,12.182015,3.648052,6.729876,11.323248,3.467746,6.332654,3.17121,4.319298,4.102522,14.951304,2.914995,7.244713,14.023255,1.794425,6.761946,12.619554,3.166835,6.004414,12.132384,2.745445,5.514808
16.890053,3.545474,8.323088,14.959119,3.604528,8.018408,12.193115,3.669367,6.73013,11.328335,3.542649,6.335628,3.245327,4.466442,4.219348,14.966283,2.907354,7.253119,14.045927,1.806654,6.742527,12.617797,3.173901,5.991909,12.132177,2.777606,5.514261
16.879293,3.501929,8.35971,14.960573,3.58232,8.029964,12.204956,3.699096,6.725413,11.338874,3.60603,6.337943,3.334795,4.495248,4.300998,14.970562,2.889526,7.267678,14.04324,1.808531,6.727011,12.620346,3.191793,5.989305,12.150292,2.807386,5.525277
16.866646,3.452631,8.395219,14.95511,3.570761,8.04653,12.217063,3.723796,6.727042,11.344069,3.673642,6.327234,3.399603,4.39045,4.359296,14.972427,2.868106,7.282487,14.023094,1.819476,6.708088,12.624594,3.211324,5.998893,12.156647,2.846348,5.550603
16.863387,3.418154,8.430165,14.959971,3.557799,8.058661,12.231,3.749488,6.735295,11.36657,3.748701,6.336861,3.416528,4.229636,4.36221,14.969583,2.841157,7.300495,13.980684,1.83878,6.702442,12.629979,3.221611,6.003054,12.166339,2.86578,5.569374
16.862197,3.380497,8.4488,14.95879,3.542209,8.07661,12.248154,3.777332,6.73707,11.384297,3.804371,6.325482,3.408975,4.040781,4.377885,14.966378,2.819103,7.323206,13.953321,1.837254,6.739723,12.628447,3.218081,6.002359,12.162189,2.883142,5.600959
16.866277,3.348945,8.46085,14.954649,3.512616,8.087601,12.257473,3.767397,6.729726,11.407205,3.851361,6.323763,3.408251,3.851525,4.362845,14.965549,2.796459,7.343417,13.937573,1.832084,6.803356,12.631177,3.209389,6.007678,12.16327,2.884266,5.622378
16.867971,3.337167,8.475935,14.955127,3.500226,8.089261,12.270222,3.749191,6.728203,11.42504,3.88132,6.331595,3.416419,3.678038,4.377447,14.96741,2.77115,7.359137,13.933,1.80164,6.886172,12.629827,3.185937,6.010771,12.167292,2.868595,5.627956
16.877912,3.325352,8.477964,14.963768,3.491211,8.115199,12.280337,3.717223,6.733118,11.442206,3.905094,6.339177,3.421629,3.495618,4.408318,14.971505,2.74864,7.377435,13.945446,1.770504,6.960113,12.628833,3.165467,6.018875,12.166366,2.841196,5.649146
16.889444,3.322199,8.483899,14.969809,3.474016,8.126153,12.289683,3.673491,6.740391,11.457156,3.889922,6.345441,3.45355,3.313415,4.43402,14.975906,2.732723,7.401973,13.960586,1.734517,7.03394,12.626699,3.136884,6.030557,12.162673,2.825264,5.664501
16.902607,3.326204,8.487141,14.977499,3.473755,8.1454,12.300266,3.637834,6.741392,11.470759,3.856193,6.350812,3.482227,3.126748,4.447827,14.985719,2.720546,7.426923,13.985467,1.714634,7.10256,12.636934,3.07895,6.042248,12.154615,2.79933,5.71742
16.919786,3.339356,8.482103,14.985808,3.458395,8.165116,12.306743,3.570301,6.747616,11.482796,3.791142,6.351364,3.508959,2.959413,4.456889,14.997722,2.711002,7.453769,14.000943,1.694841,7.149395,12.643181,3.031613,6.063549,12.148184,2.755038,5.769702
16.932001,3.347634,8.48233,14.999103,3.452823,8.177216,12.310133,3.497126,6.756496,11.492151,3.730771,6.369029,3.539725,2.744949,4.453675,15.012658,2.703729,7.472585,14.026208,1.663151,7.206733,12.647072,2.981812,6.087808,12.145332,2.707372,5.799974
16.945699,3.352876,8.479288,15.011958,3.458722,8.188528,12.320343,3.426853,6.762285,11.495945,3.655195,6.379343,3.579882,2.539945,4.449044,15.024728,2.69814,7.485993,14.047119,1.645184,7.248309,12.659559,2.921818,6.099891,12.142538,2.646708,5.823721
16.957109,3.352454,8.473024,15.0248,3.45581,8.197606,12.326531,3.363558,6.774821,11.499027,3.560775,6.398542,3.624413,2.40298,4.438366,15.037147,2.695097,7.501225,14.064031,1.626524,7.267302,12.669582,2.871688,6.118096,12.143095,2.578611,5.847636
16.973004,3.358269,8.472925,15.042696,3.47267,8.213729,12.33544,3.294107,6.783849,11.501162,3.460573,6.404148,3.678422,2.266989,4.43961,15.05217,2.706781,7.517243,14.084417,1.61809,7.290028,12.688533,2.814307,6.14513,12.145569,2.533016,5.872002
16.984223,3.356315,8.465178,15.054502,3.470545,8.221309,12.346028,3.248548,6.813096,11.500616,3.379349,6.413815,3.769567,2.143599,4.436952,15.062351,2.714712,7.523892,14.097445,1.61782,7.310407,12.713217,2.787843,6.178643,12.148875,2.484281,5.899517
