"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
505.309426,266.440845,645.661459,289.291916,819.993058,377.013973,875.256353,403.975721,1362.69138,478.526056,612.902535,343.209662,618.056164,395.886136,788.6017,426.724896,805.792015,465.169236
504.245399,265.150847,645.941697,289.291916,819.90627,377.46139,877.251404,404.136971,1356.406968,473.809503,612.46565,340.296497,619.642011,396.318616,789.599226,425.999272,806.264916,465.169236
504.777412,265.795846,645.521341,288.782287,821.362551,377.46139,879.246456,404.62072,1350.721072,471.26982,612.137987,338.972331,623.187691,396.153282,790.995762,425.757398,807.053085,466.315901
504.422737,266.225845,645.661459,288.952163,822.090691,377.46139,880.044476,404.136971,1343.838145,466.190455,612.356429,337.515749,625.369648,395.161277,791.594277,425.031774,807.053085,466.507011
503.713385,266.010845,645.381222,288.782287,822.236319,377.637945,881.374511,403.491972,1337.553733,464.739208,611.919545,336.323999,627.415233,393.342603,791.394772,424.7899,807.053085,467.462565
502.47202,265.580846,644.680628,288.272658,822.527575,377.284834,881.906524,403.169473,1335.159671,464.739208,610.718114,335.661916,628.778956,390.862592,791.195267,425.031774,806.580184,467.271454
501.58533,266.870844,644.120152,287.76303,821.508179,377.637945,881.906524,403.008223,1335.758187,463.650773,610.827335,334.867417,630.279052,388.878584,791.195267,424.548025,806.895451,467.844787
500.166627,267.300843,643.13932,286.913649,821.071294,377.108279,881.906524,402.524474,1338.152248,465.10202,610.499672,334.205334,629.460818,387.059909,790.796256,423.338653,807.053085,467.462565
500.698641,268.59084,642.438726,286.40402,820.197526,376.402057,881.773521,402.040725,1341.444083,468.004514,609.844345,334.205334,628.097095,383.257226,790.197741,422.613029,806.42255,467.844787
501.58533,269.235839,641.598013,286.40402,818.158733,375.695835,880.310483,401.556976,1342.940372,469.09295,607.878367,333.013585,625.915138,379.950545,790.197741,422.12928,805.792015,467.271454
500.875979,268.59084,640.617181,286.064268,816.993709,374.989614,879.512463,401.556976,1342.940372,470.181385,606.349272,331.424586,624.27867,378.297205,788.801205,421.403656,805.476748,467.462565
501.275087,268.920872,640.294278,285.888666,816.11994,374.636503,878.049425,401.556976,1344.43666,473.083879,605.584725,330.365253,623.051319,374.494522,787.604174,420.678033,804.373312,467.080344
499.541116,271.02309,639.453565,285.775415,814.809288,373.930281,876.719391,401.718225,1345.334433,477.074809,604.05563,328.908671,621.278479,372.014511,786.407143,419.952409,802.481708,466.507011
498.910581,271.02309,638.519439,285.662165,813.498635,373.400615,874.724339,401.073227,1345.334433,481.065739,603.400304,328.246588,620.596617,368.542496,784.412092,418.743037,799.329034,464.213683
498.752948,271.596422,637.585314,285.435663,812.042355,372.870948,873.793315,400.911977,1346.531464,486.507916,603.181862,327.584505,619.914755,365.897152,782.417041,417.291789,796.806895,462.875907
497.491878,271.596422,636.464363,285.095911,810.731702,372.164727,871.798264,400.750727,1348.626268,491.224469,602.854198,327.187255,619.369266,363.417141,780.621495,416.566166,794.600023,461.155911
497.807145,272.551976,635.810475,284.756158,809.275422,371.63506,869.537206,400.105729,1349.224783,496.303834,602.635756,326.657589,618.687405,361.598466,778.027928,415.840542,791.44735,459.627025
496.230809,271.787533,635.156587,284.416406,807.382257,370.575728,867.542155,399.621979,1348.32701,501.020387,602.526535,326.922422,618.687405,359.118456,776.431887,415.356793,786.718339,456.760364
