"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
428.890186,270.102149,596.091379,252.967096,835.227976,282.895044,908.446361,288.941907,1466.258687,288.24549,606.166081,309.346161,684.498775,332.678127,816.737759,344.598834,853.393706,366.065606
430.087217,270.263398,596.290884,252.725221,839.617089,283.620668,909.842896,290.876904,1462.667594,286.431431,607.163607,310.313659,685.672406,333.04297,818.94582,345.909395,856.851795,366.065606
430.486227,272.037145,597.28841,253.450845,840.41511,284.588166,911.039927,292.086276,1455.784667,283.166125,608.560143,310.071784,687.667458,334.332968,821.871895,347.360642,859.245857,367.516853
431.816261,273.165893,597.088905,253.450845,842.210656,285.555664,911.638443,292.8119,1449.799513,277.723948,608.925507,310.269309,689.263499,335.300466,824.531963,348.166891,861.240908,368.484351
433.146296,273.649642,599.283461,253.692719,842.809172,286.281288,913.234484,294.021272,1448.90174,276.998324,609.457521,310.753058,689.928516,336.267964,826.261008,348.65064,864.832,369.12935
433.545306,274.61714,600.879502,254.418343,843.407687,286.281288,914.032504,294.263147,1451.894317,276.272701,610.787555,311.236808,690.46053,336.590463,828.256059,348.973139,865.896028,368.9681
434.07732,275.745887,600.081482,254.660217,845.003728,286.523162,915.03003,295.230645,1454.886894,276.272701,611.186565,311.720557,692.588584,335.784215,829.586093,348.65064,867.359065,368.323101
434.343327,277.358384,600.280987,255.385841,846.001254,286.523162,915.82805,295.956269,1458.477986,274.458642,610.787555,311.559307,692.854591,334.977966,831.714148,348.48939,870.285141,366.871854
434.47633,278.487132,600.081482,256.595214,847.198284,286.523162,916.626071,296.198143,1464.46314,273.007395,610.388545,312.204306,691.65756,332.88172,833.310189,348.005641,872.413195,365.581857
434.87534,280.905877,600.081482,256.111465,848.59482,286.523162,917.224586,296.198143,1472.243841,270.467712,609.457521,313.171804,689.795513,331.430473,834.640223,347.199393,873.74323,363.80811
435.27435,281.550876,600.081482,256.595214,849.193336,286.523162,918.421617,296.198143,1478.228995,272.281771,609.324517,313.978052,687.534454,331.107974,835.305241,346.715644,875.206267,361.550615
435.673361,283.647122,598.884451,256.837088,847.996305,286.523162,918.621122,296.681892,1483.914891,274.458642,609.324517,314.139302,685.140393,332.397971,835.172237,346.876893,875.738281,359.615618
435.939368,284.93712,598.884451,257.078963,849.193336,286.765037,919.219638,296.923767,1486.308953,275.547077,609.191514,312.688055,683.012338,332.88172,834.50722,346.393144,876.270295,358.164371
436.072371,285.582118,599.283461,258.046461,848.794326,286.281288,920.304033,297.243881,1487.206726,275.547077,609.058511,313.655553,681.5493,332.720471,833.576196,346.231895,876.004288,357.196873
436.205374,285.904618,599.482966,259.013959,848.794326,286.765037,921.13161,297.100548,1486.308953,275.909889,608.925507,313.494303,681.283294,331.752973,832.645172,345.748146,875.206267,355.906876
436.072371,287.355865,599.482966,259.981457,846.998779,286.281288,920.89516,296.383883,1483.615633,275.184265,609.324517,312.526805,681.815307,329.817976,830.650121,345.586896,874.54125,353.64938
435.540357,286.872116,599.283461,260.223332,846.998779,285.797538,919.949358,295.953883,1480.024541,273.733018,609.590524,313.171804,683.810359,328.527979,828.389063,344.941897,873.610226,353.81063
435.008344,287.839614,599.482966,261.432704,845.602243,286.281288,919.799267,295.965101,1479.126768,273.007395,609.058511,314.300552,685.938413,328.850478,825.595991,345.264397,872.280192,355.100627
434.47633,289.129611,599.682472,262.883951,845.203233,286.281288,917.907663,295.58288,1478.228995,274.458642,609.856531,314.300552,687.667458,329.011728,823.068926,345.909395,870.152137,356.068125
433.811313,289.61336,599.682472,263.3677,844.006202,286.039413,917.277128,295.58288,1476.433448,274.821454,609.457521,315.429299,689.263499,330.462975,821.206878,346.554394,868.6891,358.64812
433.412303,289.290861,599.682472,263.609575,843.208182,287.49066,916.173692,296.156212,1474.637902,276.635513,609.590524,316.719297,690.726537,330.946724,820.807868,348.328141,867.226062,362.034364
432.747285,289.452111,599.682472,263.85145,844.006202,288.700033,914.912623,297.302876,1472.243841,278.812383,610.122538,316.558047,691.391554,332.88172,820.541861,350.263137,866.295038,364.453109
432.215272,288.968362,598.884451,264.093324,844.405213,289.909405,914.282088,298.449541,1469.849779,280.989254,609.723528,317.525545,692.322578,334.010468,820.674864,351.230635,865.364014,365.581857
431.550255,289.129611,598.684946,264.335199,845.003728,290.635029,913.49392,300.360648,1467.455717,284.980184,609.723528,318.170544,693.120598,336.590463,820.940871,352.681882,864.565994,368.645601
431.550255,289.129611,597.487915,265.302697,845.203233,291.602527,913.336286,301.889534,1465.660171,287.882678,609.590524,319.299292,693.386605,338.36421,821.472885,354.616878,863.900976,370.903096
431.151244,288.807112,597.886925,265.302697,845.402738,293.053774,913.021019,302.653977,1461.769821,290.785172,608.127487,319.621791,693.386605,339.170458,822.270905,355.261877,863.102956,374.611839
430.885238,288.162113,597.487915,265.060822,845.402738,293.295649,913.021019,303.227309,1461.470563,291.510796,608.393493,319.299292,693.386605,339.331708,822.403909,355.423127,862.836949,375.256838
