"pt1_cam2_X","pt1_cam2_Y","pt2_cam2_X","pt2_cam2_Y","pt3_cam2_X","pt3_cam2_Y","pt4_cam2_X","pt4_cam2_Y","pt5_cam2_X","pt5_cam2_Y","pt6_cam2_X","pt6_cam2_Y","pt8_cam2_X","pt8_cam2_Y","pt10_cam2_X","pt10_cam2_Y","pt12_cam2_X","pt12_cam2_Y"
532.880237,347.715159,677.201142,396.775956,837.654073,497.851436,922.74723,550.609496,1288.460456,731.867246,653.481645,450.240714,681.574215,501.966881,807.489849,555.576798,833.659567,593.096803
531.106858,346.425162,675.405595,396.534081,835.858526,496.883938,921.293831,549.949061,1281.876787,725.699446,651.885604,449.810715,681.973225,504.385626,805.095787,554.851174,833.460062,591.645556
528.978803,345.135164,673.606756,395.785703,834.562958,496.745535,919.897295,549.465312,1276.490148,722.071328,649.971992,449.0939,682.372235,505.353124,803.100736,554.6093,832.662042,591.161807
527.028086,344.060166,672.143718,395.140704,833.498931,496.530536,918.301254,548.255939,1269.307964,714.089468,648.435064,448.807234,682.771246,507.529995,801.7042,554.851174,831.066001,593.096803
525.254707,342.555169,670.946687,394.495705,832.080227,496.530536,916.106697,547.530316,1263.622067,702.116679,646.661685,448.233901,681.973225,507.529995,800.108159,554.851174,831.066001,593.338678
523.30399,340.620173,669.350646,393.850707,830.129511,496.315536,914.667272,547.34419,1260.62949,692.320761,644.494202,447.302961,680.377184,508.255619,798.711623,555.093049,830.26798,594.064301
520.998598,338.900176,667.355595,393.044458,828.533469,496.315536,913.313625,546.320943,1259.731717,685.064525,643.075498,446.538518,678.980648,508.981242,797.315087,555.093049,828.671939,594.306176
518.515867,334.815184,665.360544,391.754461,827.114766,495.885537,911.917089,545.353445,1259.432459,677.445478,641.183894,445.582964,677.983122,510.916238,795.719046,554.851174,827.674413,594.306176
516.210474,330.945192,662.567472,390.303214,824.632036,495.025539,910.121543,544.385947,1259.432459,673.091736,639.449924,444.818521,677.185102,510.674364,793.9235,553.883676,826.676888,594.306176
514.614433,327.720198,660.306413,388.368217,822.326643,494.59554,908.325997,543.176574,1262.724294,671.640489,637.400686,442.716303,676.187576,511.641862,792.127954,553.399927,825.679362,594.548051
512.309041,324.710204,658.311362,386.91697,820.02125,494.16554,905.532925,542.209076,1266.315387,668.737995,635.351448,440.996307,674.990545,510.916238,790.332407,552.916178,824.482331,594.064301
