"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
19.163354,5.113728,11.001735,17.274406,4.710459,10.497968,14.837811,4.310798,8.747486,14.026927,4.463801,8.284044,6.594361,3.249327,5.963627,17.480652,4.034405,9.831534,16.74079,2.72602,9.392586,15.148638,3.826256,7.99547,14.656019,3.597351,7.546439
19.176869,5.151291,11.01946,17.292867,4.721394,10.509592,14.853274,4.285086,8.772538,14.045807,4.418421,8.310757,6.646053,3.13024,5.962281,17.504009,4.04461,9.849548,16.776776,2.741944,9.407696,15.164922,3.798703,8.021768,14.660123,3.531962,7.570445
19.182845,5.167015,11.031783,17.301728,4.73531,10.521731,14.865948,4.241029,8.781744,14.066284,4.359752,8.333957,6.69998,3.040088,5.949861,17.528999,4.059176,9.871135,16.814399,2.743503,9.405898,15.187509,3.774704,8.043084,14.671101,3.478235,7.616713
19.195092,5.179778,11.048018,17.309589,4.748806,10.528468,14.869298,4.204954,8.790475,14.070853,4.289166,8.340295,6.748538,3.016073,5.922881,17.543763,4.07729,9.884782,16.861833,2.751263,9.391618,15.20374,3.756961,8.075016,14.696175,3.433738,7.659954
19.207597,5.195407,11.057029,17.312702,4.75153,10.532461,14.882636,4.154012,8.803989,14.078764,4.228345,8.340714,6.830477,3.015955,5.909102,17.559395,4.103677,9.896941,16.897343,2.775804,9.398405,15.218207,3.742555,8.099331,14.710611,3.379142,7.691695
19.215598,5.21104,11.063246,17.320706,4.766457,10.542439,14.900353,4.132648,8.815839,14.081211,4.171288,8.339144,6.894143,3.013254,5.881014,17.573788,4.122542,9.91054,16.938174,2.787497,9.393761,15.233597,3.73119,8.131538,14.729997,3.331104,7.73642
19.236429,5.232773,11.070899,17.330037,4.784137,10.553252,14.91977,4.113317,8.832397,14.091257,4.116097,8.349174,6.926342,3.061768,5.850368,17.586976,4.138924,9.923442,16.975832,2.80462,9.395716,15.252308,3.720686,8.151291,14.746542,3.304524,7.769297
19.249511,5.250801,11.082207,17.345647,4.794704,10.558406,14.935064,4.101733,8.838004,14.100317,4.06245,8.368285,6.956859,3.136325,5.800626,17.59854,4.150721,9.93527,17.010786,2.833813,9.397711,15.277459,3.706965,8.175468,14.763098,3.261099,7.794593
19.264431,5.265926,11.085388,17.362193,4.81828,10.567136,14.965452,4.080068,8.853514,14.10816,4.012051,8.38711,6.963578,3.229036,5.799357,17.612341,4.170264,9.940716,17.038247,2.843322,9.37512,15.298805,3.711755,8.197146,14.783372,3.228841,7.814222
19.276469,5.286722,11.089593,17.377058,4.833191,10.576451,14.972514,4.066847,8.865158,14.11737,3.964609,8.40018,6.993515,3.326856,5.739051,17.617458,4.182212,9.951002,17.062229,2.858546,9.369888,15.319236,3.712311,8.219076,14.804736,3.204833,7.835148
