"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
19.824498,6.130254,10.392558,18.066749,5.765236,10.361195,15.323393,5.027061,9.294145,14.231784,4.620407,8.841862,7.330683,4.362449,6.844384,18.037621,4.922978,9.59773,17.516903,3.918781,8.836668,15.704838,4.57704,8.470615,15.248565,4.095513,8.151618
19.818859,6.154266,10.400686,18.074497,5.766994,10.363969,15.324967,5.054861,9.288042,14.239991,4.677256,8.810965,7.421005,4.45085,6.945075,18.055592,4.926922,9.599846,17.513578,3.922173,8.848398,15.697449,4.592555,8.450379,15.244327,4.150034,8.124474
19.819063,6.173386,10.3997,18.086933,5.780765,10.368361,15.323573,5.074573,9.282134,14.236112,4.742259,8.788763,7.507229,4.500169,7.063795,18.070575,4.928583,9.597803,17.523431,3.930672,8.874788,15.694662,4.622999,8.448403,15.242914,4.182527,8.084797
19.826163,6.197015,10.399022,18.094722,5.793732,10.377016,15.328636,5.083744,9.269162,14.239694,4.804488,8.768462,7.591047,4.448691,7.196071,18.086906,4.940038,9.603391,17.557501,3.935519,8.880227,15.686978,4.632485,8.441363,15.227533,4.207133,8.081736
19.833036,6.225151,10.410715,18.104378,5.806268,10.376699,15.33242,5.092503,9.24797,14.24543,4.875542,8.757468,7.622684,4.320334,7.226706,18.106033,4.956529,9.606926,17.577676,3.933714,8.886189,15.687384,4.633349,8.425889,15.213579,4.223946,8.074065
19.840756,6.237386,10.405928,18.113923,5.821066,10.379399,15.351759,5.087274,9.244402,14.257175,4.936937,8.748342,7.627591,4.164234,7.255153,18.121284,4.970279,9.615032,17.601195,3.944696,8.898638,15.695687,4.63026,8.422014,15.217601,4.251649,8.065557
19.852088,6.258236,10.412675,18.127418,5.839667,10.38303,15.374873,5.068561,9.246936,14.272348,4.980079,8.741646,7.614758,4.007444,7.273339,18.142287,4.9905,9.625623,17.614115,3.96191,8.932506,15.70852,4.624039,8.431869,15.218647,4.260337,8.054121
19.8668,6.273422,10.411943,18.137632,5.855144,10.386758,15.393143,5.046765,9.249058,14.288593,5.000141,8.73646,7.608188,3.847692,7.288589,18.155403,4.9951,9.627479,17.622648,3.976015,8.9703,15.724869,4.609063,8.434553,15.227807,4.256023,8.045913
19.881051,6.284578,10.412367,18.152192,5.877681,10.388558,15.413709,5.024092,9.254356,14.322024,5.009653,8.728586,7.600991,3.665171,7.299129,18.172966,5.021154,9.6309,17.622274,4.001441,9.039236,15.747138,4.586126,8.434495,15.228216,4.249373,8.054846
19.895091,6.293352,10.412024,18.168015,5.903172,10.394556,15.443053,5.014446,9.272532,14.353439,5.00852,8.729657,7.614781,3.517866,7.311575,18.191992,5.043132,9.640671,17.633881,4.01682,9.094392,15.765399,4.568817,8.446846,15.249895,4.227999,8.081499
19.912542,6.304947,10.414094,18.186778,5.925726,10.395565,15.466018,4.991033,9.280706,14.375666,4.978277,8.726563,7.616951,3.33892,7.322603,18.210089,5.064066,9.646637,17.653815,4.022549,9.124235,15.78477,4.558756,8.459434,15.270987,4.217109,8.105087
19.930946,6.325361,10.417554,18.205005,5.952303,10.395837,15.485306,4.970882,9.287947,14.405432,4.943049,8.727375,7.619592,3.192753,7.316631,18.231575,5.090794,9.652205,17.673808,4.053103,9.16715,15.809912,4.53605,8.468234,15.293505,4.203722,8.137265
19.943161,6.33261,10.420623,18.217266,5.979308,10.398821,15.505825,4.957736,9.293999,14.426165,4.905762,8.7281,7.651986,3.057995,7.301863,18.247886,5.115317,9.64941,17.69162,4.065237,9.197941,15.836826,4.524593,8.483812,15.314387,4.174895,8.164241
19.946853,6.341745,10.435825,18.22787,5.995507,10.400034,15.521027,4.944578,9.300156,14.439852,4.863945,8.729304,7.696391,2.956544,7.292535,18.26297,5.135578,9.65235,17.712541,4.089208,9.213536,15.860182,4.523386,8.494926,15.342934,4.165845,8.213923
19.952542,6.35554,10.452537,18.23747,6.009586,10.39576,15.540902,4.930139,9.300183,14.454881,4.83212,8.736163,7.748996,2.853494,7.284406,18.274562,5.151434,9.653485,17.723954,4.106429,9.23498,15.888448,4.523063,8.508618,15.372927,4.142104,8.242192
