"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
19.230318,5.088198,10.029483,17.575082,5.072417,9.452207,15.610846,4.760294,7.311637,14.551964,4.399592,6.280642,8.098677,5.676021,2.612321,17.787708,4.365732,8.48163,17.488597,3.292139,7.71233,16.131941,4.205938,6.434983,15.873249,3.905284,5.735704
19.213297,5.069058,10.01321,17.560882,5.055704,9.443237,15.60485,4.779846,7.292402,14.541918,4.411881,6.260319,8.143044,5.757505,2.641377,17.767812,4.347706,8.467508,17.434507,3.26546,7.638411,16.117132,4.201148,6.408878,15.849462,3.909057,5.732923
19.201168,5.059276,9.995395,17.544702,5.043796,9.42745,15.587202,4.801301,7.27136,14.523838,4.450066,6.248162,8.1952,5.876553,2.689707,17.744629,4.341347,8.45582,17.359743,3.2552,7.60779,16.109224,4.191171,6.381798,15.821702,3.912078,5.712238
19.193339,5.053278,9.98786,17.532653,5.039827,9.421543,15.579872,4.815357,7.260903,14.505885,4.463975,6.223333,8.262,5.919503,2.751908,17.712991,4.31668,8.447667,17.285792,3.254103,7.600003,16.093167,4.197126,6.363094,15.810266,3.906382,5.638209
19.184485,5.048617,9.97497,17.522031,5.020869,9.402718,15.565685,4.816689,7.247877,14.502779,4.487244,6.222483,8.292178,5.937011,2.768032,17.697447,4.29389,8.431694,17.203115,3.258724,7.610508,16.070219,4.197726,6.344205,15.790759,3.917007,5.621401
19.179428,5.04484,9.973339,17.519074,5.014961,9.40907,15.553108,4.812736,7.242105,14.489591,4.510461,6.210567,8.323423,5.949454,2.772382,17.67726,4.274807,8.418862,17.155686,3.25729,7.600683,16.050501,4.191781,6.308997,15.780522,3.927491,5.615281
19.176441,5.03776,9.963217,17.514664,5.000787,9.396198,15.550298,4.817885,7.243415,14.482053,4.545682,6.206743,8.344866,5.902673,2.768064,17.665042,4.270168,8.406986,17.107225,3.254629,7.584796,16.032915,4.190514,6.292648,15.76269,3.927705,5.594695
19.169912,5.027065,9.951889,17.511103,4.988104,9.397819,15.538575,4.817361,7.223248,14.47418,4.571247,6.204355,8.33254,5.845953,2.745713,17.655473,4.248783,8.402927,17.088597,3.252656,7.568505,16.014288,4.185771,6.272953,15.75056,3.936487,5.594267
19.164875,5.014283,9.952911,17.514814,4.992895,9.399175,15.529215,4.811081,7.217221,14.471636,4.600134,6.198508,8.305801,5.757384,2.71629,17.650505,4.238458,8.395101,17.069331,3.255505,7.580001,15.989995,4.196299,6.258579,15.733438,3.929457,5.573106
19.162042,4.999812,9.951589,17.510674,4.968679,9.397339,15.533065,4.801673,7.216587,14.467698,4.621548,6.199066,8.253109,5.63292,2.706592,17.647661,4.233619,8.392338,17.066427,3.243976,7.604101,15.972113,4.183314,6.239316,15.718902,3.926483,5.567632
