"pt1_X","pt1_Y","pt1_Z","pt2_X","pt2_Y","pt2_Z","pt3_X","pt3_Y","pt3_Z","pt4_X","pt4_Y","pt4_Z","pt5_X","pt5_Y","pt5_Z","pt6_X","pt6_Y","pt6_Z","pt8_X","pt8_Y","pt8_Z","pt10_X","pt10_Y","pt10_Z","pt12_X","pt12_Y","pt12_Z"
19.383817,10.000044,9.129079,16.794874,10.222942,9.000421,13.981845,10.436894,7.948387,12.451239,9.943414,7.209142,5.259828,10.524746,5.0916,17.020453,9.388095,7.890875,15.771759,8.297252,7.075845,14.195703,9.881202,6.825397,13.317841,9.412174,6.264955
19.390959,9.963172,9.134793,16.805664,10.182991,8.992029,13.995105,10.485657,7.946794,12.457712,10.035065,7.216533,5.353572,10.597458,5.202619,17.025523,9.346865,7.882017,15.757735,8.313499,7.027552,14.202427,9.91095,6.822711,13.334297,9.461743,6.256853
19.394385,9.924081,9.145323,16.813739,10.13593,8.983645,14.011231,10.523115,7.944154,12.471665,10.129976,7.226998,5.43682,10.593734,5.265045,17.021629,9.310795,7.870057,15.742132,8.324796,6.965011,14.209889,9.942458,6.831744,13.335266,9.541319,6.243374
19.402863,9.881973,9.152574,16.823965,10.088318,8.975767,14.029704,10.555009,7.938476,12.489843,10.222291,7.240374,5.501277,10.500277,5.319856,17.026324,9.255334,7.850798,15.729074,8.330669,6.904035,14.215076,9.973801,6.841072,13.326347,9.596353,6.24867
19.417392,9.840175,9.155728,16.832927,10.048097,8.972928,14.049586,10.570075,7.947337,12.504211,10.326837,7.257811,5.541319,10.351,5.290051,17.037298,9.208606,7.845647,15.718012,8.341668,6.863437,14.219237,9.988866,6.841664,13.324463,9.655775,6.263444
19.436015,9.814404,9.162857,16.844903,10.008138,8.972312,14.069257,10.569999,7.942452,12.515107,10.405855,7.264446,5.548248,10.18414,5.279482,17.036882,9.157875,7.836482,15.694835,8.3465,6.813468,14.217585,9.979766,6.844424,13.325606,9.708825,6.278144
19.458684,9.795915,9.171633,16.864432,9.967448,8.966044,14.089475,10.548353,7.939586,12.537841,10.492038,7.280656,5.538319,10.006304,5.212631,17.049664,9.117731,7.8282,15.677505,8.350924,6.803255,14.209937,9.97594,6.84245,13.320412,9.752553,6.289406
19.476551,9.796327,9.189128,16.888445,9.927895,8.969414,14.111922,10.500723,7.944408,12.564963,10.544215,7.288481,5.526078,9.833619,5.168092,17.06599,9.077877,7.830892,15.666549,8.340497,6.805046,14.208646,9.944918,6.83875,13.316092,9.785336,6.287398
19.496295,9.806477,9.204422,16.907387,9.897798,8.974139,14.136314,10.45771,7.942987,12.598427,10.585007,7.301983,5.52851,9.652341,5.122182,17.091524,9.0464,7.84781,15.664663,8.314486,6.831537,14.214904,9.908479,6.839819,13.31615,9.814615,6.285469
19.521096,9.842128,9.224989,16.93249,9.871686,8.98319,14.152469,10.386387,7.934212,12.628614,10.594845,7.307576,5.514102,9.482197,5.074361,17.129726,9.006008,7.86198,15.6844,8.258907,6.863748,14.223269,9.855329,6.832414,13.318833,9.793567,6.28462
19.545058,9.872202,9.249307,16.958674,9.857005,8.983325,14.174031,10.341373,7.93912,12.661061,10.582865,7.308802,5.511615,9.312266,5.045695,17.17195,8.979041,7.88424,15.71645,8.186029,6.897121,14.240708,9.80034,6.832279,13.327381,9.768493,6.27701
19.566968,9.91481,9.281364,16.98361,9.855184,8.98742,14.195339,10.254574,7.934953,12.700178,10.547264,7.311743,5.521367,9.131467,5.008322,17.216703,8.957365,7.893565,15.766212,8.123383,6.92553,14.248074,9.737987,6.824474,13.334418,9.729057,6.275592
19.596101,9.973871,9.313711,17.008421,9.852329,9.008627,14.220176,10.183337,7.925139,12.725821,10.488022,7.317326,5.537843,8.968746,4.954746,17.256962,8.940434,7.918579,15.821188,8.054872,6.953164,14.250741,9.670316,6.820006,13.341237,9.681423,6.280367
19.625043,10.021813,9.327549,17.035503,9.849842,9.031953,14.242406,10.095502,7.918092,12.755059,10.437219,7.319937,5.547019,8.791475,4.897843,17.310084,8.932039,7.9387,15.883022,7.993961,6.995639,14.25777,9.584878,6.823756,13.360016,9.611992,6.280784
19.652876,10.081423,9.35918,17.06874,9.844243,9.048394,14.264498,9.998419,7.904283,12.798119,10.358901,7.320545,5.573823,8.625368,4.826896,17.355702,8.937016,7.976791,15.962132,7.928949,7.010892,14.298641,9.501805,6.818248,13.377643,9.538749,6.300651
19.676711,10.136213,9.384933,17.099687,9.847595,9.069639,14.296031,9.92119,7.89736,12.833956,10.273223,7.311377,5.607096,8.465223,4.744223,17.405233,8.938285,8.00048,16.02904,7.883843,7.044237,14.343101,9.402206,6.817574,13.399662,9.448476,6.30678
