specimen,speedBL,body_angle
catshark10,0.5,48.537691955419
catshark10,0.5,48.6185610614555
catshark10,0.5,48.6816012639066
catshark10,0.5,48.6745153651827
catshark10,0.5,48.6079992924665
catshark10,0.5,48.5445523288892
catshark10,0.5,48.4250903486568
catshark10,0.5,48.3789219595562
catshark10,0.5,48.2614885095234
catshark10,0.5,48.1886376108216
catshark10,0.5,48.1625364632846
catshark10,0.5,48.1705976641525
catshark10,0.5,48.1528288285941
catshark10,0.5,48.1824440716696
catshark10,0.5,48.1092507700861
catshark10,0.5,48.2896833144365
catshark10,0.5,48.4412339795431
catshark10,0.5,48.5589524529263
catshark10,0.5,48.6099137503312
catshark10,0.5,48.7021504012525
catshark10,0.5,48.9525019541553
catshark10,0.5,49.1273878709522
catshark10,0.5,49.483560280946
catshark10,0.5,49.7410350761365
catshark10,0.5,49.9392963404047
catshark10,0.5,50.1892175145667
catshark10,0.5,50.4419551028057
catshark10,0.5,50.7029866070473
catshark10,0.5,50.8901228498972
catshark10,0.5,51.0065607932982
catshark10,0.5,51.1142055357445
catshark10,0.5,51.3206798151999
catshark10,0.5,51.2962743340819
catshark10,0.5,51.2992601889902
catshark10,0.5,51.33427148496
catshark10,0.5,51.3726956201448
catshark10,0.5,51.2658449540172
catshark10,0.5,51.2965606328758
catshark10,0.5,51.1903877541343
catshark10,0.5,51.1837384023845
catshark10,0.5,51.17773225644
catshark10,0.5,51.1178861853634
catshark10,0.75,45.086249222533
catshark10,0.75,45.0153106634334
catshark10,0.75,45.1768233989913
catshark10,0.75,45.3520013975493
catshark10,0.75,45.3802913757089
catshark10,0.75,45.5686205941129
catshark10,0.75,45.6572716607678
catshark10,0.75,45.7412111672115
catshark10,0.75,45.7175726523262
catshark10,0.75,45.8569163805753
catshark10,0.75,45.8012623815973
catshark10,0.75,45.5819734054304
catshark10,0.75,45.4695451844374
catshark10,0.75,45.3330610376834
catshark10,0.75,45.1580401020588
catshark10,0.75,44.9731503412628
catshark10,0.75,44.9394843629594
catshark10,0.75,44.858567330142
catshark10,0.75,44.8114894749493
catshark10,0.75,44.7540270232864
catshark10,0.75,44.6934614534053
catshark10,0.75,44.5828183524342
catshark10,0.75,44.5482848694212
catshark10,0.75,44.5263061620671
catshark10,0.75,44.4930322235681
catshark10,0.75,44.3990085984117
catshark10,0.75,44.335028725228
catshark10,0.75,44.4791961183248
catshark10,0.75,44.6913671132952
catshark10,0.75,44.9406439263043
catshark10,0.75,45.4338306894218
catshark10,0.75,45.7076761039457
catshark10,0.75,46.047449634993
catshark10,0.75,46.3929619071534
catshark10,0.75,46.6592358294712
catshark10,0.75,46.8748513860964
catshark10,0.75,46.9262159074608
catshark10,0.75,46.9330645157511
catshark10,0.75,47.0168155735007
catshark10,0.75,47.0168154535624
catshark10,0.75,47.0425012344899
catshark10,1.25,40.3479006741895
catshark10,1.25,40.8758821589411
catshark10,1.25,41.4686902532062
catshark10,1.25,42.0605495829455
catshark10,1.25,42.5332487001817
catshark10,1.25,42.9082149463557
catshark10,1.25,43.3023739844788
catshark10,1.25,43.5745985189482
catshark10,1.25,43.7238016196274
catshark10,1.25,43.8169891265477
catshark10,1.25,43.7794774549178
catshark10,1.25,43.823354724212
catshark10,1.25,43.8695096403488
catshark10,1.25,43.8361404043013
catshark10,1.25,43.6841074956894
catshark10,1.25,43.5938469872996
catshark10,1.25,43.4211880084957
catshark10,1.25,43.2783526131065
catshark10,1.25,43.0384158706126
catshark10,1.25,42.6126604952727
catshark10,1.25,42.373088180642
catshark10,1.25,42.1894690696693
catshark10,1.25,41.8234170148178
catshark10,1.25,41.5580351112285
catshark10,1.25,41.2485982362569
catshark10,1.25,40.8421452522723
catshark10,1.25,40.5726937066057
catshark10,1.25,40.2163361109048
catshark10,1.25,39.9616084478339
catshark10,1.25,39.7682373459009
catshark10,1.25,39.5249613143634
catshark10,1.25,39.2897216338691
catshark10,1.25,39.111136917053
catshark10,1.25,38.9720725351231
catshark10,1.25,38.8742445434106
catshark10,1.25,38.9147879342341
catshark10,1.25,38.9533901887299
catshark10,1.25,38.9974234030266
catshark10,1.25,39.1056999762544
catshark10,1.25,39.3077783002817
catshark10,1.25,39.5449963139307
catshark10,1.25,39.7939496177174
catshark10,1.25,40.1282973104924
catshark10,1.25,40.4478232807581
catshark10,1.25,40.7781870521609
catshark10,1.25,41.2147201469284
catshark10,1.25,41.4449606835519
catshark10,1.5,38.7315384222034
catshark10,1.5,38.5216261655153
catshark10,1.5,38.2418473382873
catshark10,1.5,38.1179410966753
catshark10,1.5,38.1353140513634
catshark10,1.5,38.2370621617391
catshark10,1.5,38.229550808145
catshark10,1.5,38.3914543689973
catshark10,1.5,38.5476328186154
catshark10,1.5,38.6724327612856
catshark10,1.5,38.8884465615039
catshark10,1.5,39.2933006825849
catshark10,1.5,39.6211194990201
catshark10,1.5,39.849691871258
catshark10,1.5,39.948671669145
catshark10,1.5,40.0663906058372
catshark10,1.5,40.3481426061888
catshark10,1.5,40.6016882522448
catshark10,1.5,40.6861578638478
catshark10,1.5,40.7449013495349
catshark10,1.5,40.7928973084046
catshark10,1.5,40.8346293005605
catshark10,1.5,40.9191966269289
catshark10,1.5,41.042632723646
catshark10,1.5,41.0162399143261
catshark10,1.5,41.0745714090729
catshark10,1.5,41.2396308834617
catshark10,1.5,41.24264146943
catshark10,1.5,41.2632353830849
catshark10,1.5,41.3301231851679
catshark10,1.5,41.4202475380356
catshark10,1.5,41.2671620203184
catshark10,1.5,41.3209561140649
catshark10,1.5,41.3337563798468
catshark10,1.5,41.4406574004848
catshark10,1.5,41.5002262580333
catshark10,1.5,41.6018465347943
catshark10,1.5,41.6248075821886
catshark10,1.5,41.6470035551646
catshark10,1.5,41.6195601122507
catshark10,1.5,41.6114062036424
catshark10,1.5,41.5951060685298
catshark10,1.75,41.4638348314322
catshark10,1.75,41.9406230970593
catshark10,1.75,42.4290330463641
catshark10,1.75,42.7980659170096
catshark10,1.75,42.9953629464353
catshark10,1.75,42.9656560291584
catshark10,1.75,43.2050582811812
catshark10,1.75,43.3360538940173
catshark10,1.75,43.4378491238387
catshark10,1.75,43.5884130567801
catshark10,1.75,43.6130885056508
catshark10,1.75,43.6825059447777
catshark10,1.75,43.7071852222814
catshark10,1.75,43.8256925850947
catshark10,1.75,43.8451456713769
catshark10,1.75,43.9375475158984
catshark10,1.75,44.3038558446199
catshark10,1.75,44.6229419737981
catshark10,1.75,44.8726756861171
catshark10,1.75,45.0781863886296
catshark10,1.75,45.7828423411983
catshark10,1.75,46.0894054385817
catshark10,1.75,46.456629888524
catshark10,1.75,46.6951246369894
catshark10,1.75,47.2113300778081
catshark10,1.75,47.6433814475727
catshark10,1.75,47.9080606347477
catshark10,1.75,48.2335206112047
catshark10,1.75,48.4616384328559
catshark10,1.75,48.6528875324969
catshark10,1.75,48.8452074332144
catshark10,1.75,49.0775246060277
catshark10,1.75,49.2154934737463
catshark10,1.75,49.2989143705812
catshark10,1.75,49.1663913432562
catshark10,1.75,49.1306848324576
catshark10,1.75,48.9480493975105
catshark10,1.75,48.7377555592795
catshark10,1.75,48.4714691703956
catshark10,1.75,48.2975067050568
catshark10,1.75,47.9481172815812
catshark10,1.75,47.7084373509116
catshark10,1.75,47.4786053800737
catshark10,1.75,47.4246638599263
catshark10,1,47.3268783653617
catshark10,1,47.2740264341961
catshark10,1,47.0635162193281
catshark10,1,46.9986126100222
catshark10,1,46.9952054878013
catshark10,1,46.9986126100222
catshark10,1,46.8319716773355
catshark10,1,47.0339177186808
catshark10,1,47.0339177186808
catshark10,1,47.1884323630327
catshark10,1,47.1489137448128
catshark10,1,47.0192997031498
catshark10,1,47.0854992396122
catshark10,1,47.0182734483528
catshark10,1,46.9937744731721
catshark10,1,46.6950202272129
catshark10,1,46.7727202088754
catshark10,1,46.6911849145763
catshark10,1,46.8772254477802
catshark10,1,46.8188641394607
catshark10,1,46.944188617241
catshark10,1,47.1217151346163
catshark10,1,47.2749019525845
catshark10,1,47.3666357432289
catshark10,1,47.2045525923783
catshark10,1,47.2444605175122
catshark10,1,47.2328547891343
catshark10,1,47.2518697196019
catshark10,1,47.384442468806
catshark10,1,47.27280121749
catshark10,1,47.3081453485647
catshark10,1,47.4576768394724
catshark10,1,47.6394776376023
catshark10,1,47.8417992447622
