specimen,speedBL,angle_attack
catshark10,0.5,33.2722970013873
catshark10,0.5,32.6925443791503
catshark10,0.5,32.5289547189494
catshark10,0.5,32.9385775513914
catshark10,0.5,32.7228615928556
catshark10,0.5,32.3915610155582
catshark10,0.5,32.3440469363561
catshark10,0.5,31.715849922219
catshark10,0.5,31.5529244009454
catshark10,0.5,31.2378051136183
catshark10,0.5,32.0326064381669
catshark10,0.5,32.5469940139582
catshark10,0.5,34.4510655443734
catshark10,0.5,35.2642938894876
catshark10,0.5,35.2233813410641
catshark10,0.5,34.2273032909424
catshark10,0.5,32.812880584992
catshark10,0.5,32.881775613752
catshark10,0.5,32.8378179565355
catshark10,0.5,31.9472914180125
catshark10,0.5,31.2784825596232
catshark10,0.5,30.3269403217911
catshark10,0.5,29.8321744698433
catshark10,0.5,29.5016689566361
catshark10,0.5,29.1207090411296
catshark10,0.5,28.7551276003361
catshark10,0.5,28.1213222263607
catshark10,0.5,27.7599188007518
catshark10,0.5,28.0914640821611
catshark10,0.5,28.4374402442711
catshark10,0.5,29.426938629579
catshark10,0.5,29.9455506495345
catshark10,0.5,29.3541529599642
catshark10,0.5,28.4100455553851
catshark10,0.5,28.4296753727158
catshark10,0.5,28.7693958789022
catshark10,0.5,29.1775622781704
catshark10,0.5,29.2086440330621
catshark10,0.5,30.2164568116868
catshark10,0.5,30.6548016913937
catshark10,0.5,30.9112367328497
catshark10,0.5,30.9401964220868
catshark10,0.75,61.5569585331995
catshark10,0.75,61.820896863592
catshark10,0.75,62.5120940484049
catshark10,0.75,61.7580964097895
catshark10,0.75,62.4760396414344
catshark10,0.75,62.3411069699323
catshark10,0.75,61.4602430398089
catshark10,0.75,60.9069442155574
catshark10,0.75,61.6475053968745
catshark10,0.75,61.9637239912418
catshark10,0.75,62.4472950840405
catshark10,0.75,61.8819821932052
catshark10,0.75,61.400260420133
catshark10,0.75,61.8298720213138
catshark10,0.75,62.1558224740915
catshark10,0.75,62.6849592256482
catshark10,0.75,63.3608297590192
catshark10,0.75,63.2034296064414
catshark10,0.75,62.2199708937565
catshark10,0.75,61.1145366204572
catshark10,0.75,60.0484522179454
catshark10,0.75,58.8150412926612
catshark10,0.75,57.7402666427676
catshark10,0.75,56.436339085419
catshark10,0.75,55.314913093125
catshark10,0.75,53.608237303194
catshark10,0.75,52.1459151458073
catshark10,0.75,51.2160272540049
catshark10,0.75,49.8271391354016
catshark10,0.75,49.4565757297064
catshark10,0.75,48.445024138695
catshark10,0.75,48.370563688385
catshark10,0.75,48.4047271131004
catshark10,0.75,48.3072859731186
catshark10,0.75,48.056232845895
catshark10,0.75,47.607535859128
catshark10,0.75,47.2322538949711
catshark10,0.75,47.708591954544
catshark10,0.75,48.2411136558354
catshark10,0.75,49.0775668733378
catshark10,0.75,49.2973453677193
catshark10,1.25,47.4199477607427
catshark10,1.25,47.5817334915434
catshark10,1.25,47.2524927199133
catshark10,1.25,47.1918295827874
catshark10,1.25,48.3915074015154
catshark10,1.25,48.6215287042041
catshark10,1.25,48.6010498168541
catshark10,1.25,49.6125211452632
catshark10,1.25,49.936751012422
catshark10,1.25,49.2526481330094
catshark10,1.25,48.618529312125
catshark10,1.25,48.2570273452723
catshark10,1.25,46.7505777989016
catshark10,1.25,46.8797621608804
catshark10,1.25,45.772017084704
catshark10,1.25,46.547081292947
