specimen,speedBL,max_curvature_location,max_curvature,wavespeed,TL,TBF,headAmplitude,tailAmplitude,head_to_tailAmplitude,U,Re,St,wavelength
catshark11,1,128,5.53696916315066,0.783792856355629,16,1.953125,0.0417634438712832,0.174855028399186,0.238846112997901,0.224827066222151,35972.3305955441,0.243041006107129,0.401301942454082
catshark11,1.25,195,8.61690850656338,0.979732105778935,16,2.21729490022173,0.0268859908482149,0.224094381702974,0.119976193262404,0.24166738342202,38666.7813475233,0.328970056402288,0.4418591797063
catshark11,1.5,195,9.58603937512511,1.07684986739598,16,1.91938579654511,0.0409583060273164,0.230022692800878,0.178062023049059,0.257016319107063,41122.61105713,0.274847786150825,0.561038780913304
catshark11,2,125,9.08678298898255,1.24996135341285,16,2.04918032786885,0.0817769973405787,0.310726860872355,0.263179684920038,0.338544704935913,54167.1527897461,0.300928231388811,0.609981140465472
catshark11,3,195,7.72083454017302,1.34949224146328,16,2.84900284900285,0.0396756834999563,0.173679231546344,0.228442302206809,0.500130440895649,80020.8705433038,0.158298742896604,0.473671776753612
catshark11,4,186,7.40658989892058,1.1842026358058,16,2.69541778975741,0.0732104237303813,0.232548206756429,0.314818268227121,0.673044773317436,107687.16373079,0.149009896118,0.439339177883952
catshark11,5,187,9.78211168114188,2.60190454678357,16,4.21940928270042,0.0143875138616012,0.167389288226299,0.085952416752918,0.832131355023267,133141.016803723,0.135802389813212,0.616651377587707
catshark7,0.5,130,7.14985996930788,0.699040955703048,16,1.62337662337662,0.0510606687689658,0.195068952761946,0.261757025123716,0.111908926951272,17905.4283122035,0.452754412342014,0.430609228713077
catshark7,0.75,129,9.1067736526191,1.10625857650424,16,1.66389351081531,0.0912090178646456,0.204788083613844,0.445382447333374,0.136696544681306,21871.447149009,0.398834442186425,0.664861404479048
catshark7,1,142,11.1506484568276,1.54532862451053,16,2.7027027027027,0.0485123706409056,0.137373718431054,0.353141570272435,0.166426300221743,26628.2080354789,0.356943891285685,0.571771591068897
